stage18_run_id,comparison_id,matching_method,model_seed,left_checkpoint_step,right_checkpoint_step,side,cell_id,circuit_id,mask_sha256,fidelity,retained_components,unmatched_reason
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_fidelity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C5,c6b8c7bab70c776f6147da7d4f10d4f46a8dcea9797e65288c7c81af7dc9fc50,0.9901323517894902,80,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_fidelity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C4,76b46e23cad3bd976395ecce61a8dfcbc0732266ae94907516044ed874c52418,0.9903672957945023,91,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_fidelity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C2,62ecceb93b93ac67b99c8a736a33a5aba638bd2a7e38e34f0e296c7a0df733c6,0.9904456104628397,81,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_fidelity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C3,f21e9277daef6b214fb689b9382c4a0682858d1b468517286746b682dd7d6125,0.9904456104628397,83,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_fidelity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C6,d5b914aa3f104b55575607febd9eff17df286bfa1e74eb470bb9e47c07193c6e,0.9906805544678519,80,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_sparsity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C1,0bffd1ae616da263a22a63fbd7bdd963d33067e2af8afddd83e3ba06fde7375b,0.9901323517894902,77,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_sparsity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C5,c6b8c7bab70c776f6147da7d4f10d4f46a8dcea9797e65288c7c81af7dc9fc50,0.9901323517894902,80,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_sparsity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C6,d5b914aa3f104b55575607febd9eff17df286bfa1e74eb470bb9e47c07193c6e,0.9906805544678519,80,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_sparsity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C2,62ecceb93b93ac67b99c8a736a33a5aba638bd2a7e38e34f0e296c7a0df733c6,0.9904456104628397,81,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_sparsity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C3,f21e9277daef6b214fb689b9382c4a0682858d1b468517286746b682dd7d6125,0.9904456104628397,83,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_sparsity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C7,d87ea6a76222491bf77c87cc5f5cb557ae17545e8d0b802c36e69acdc1d8f8a2,0.9900540371211528,85,empty_opposing_family
stage18-scaling-24a9adb84176,s0-step3400-to-step7450,matched_sparsity,0,3400,7450,right,s0-step7450-f99of100-d1of2,C4,76b46e23cad3bd976395ecce61a8dfcbc0732266ae94907516044ed874c52418,0.9903672957945023,91,empty_opposing_family
