stage16_run_id,circuit_i,circuit_j,circuit_i_profile_json,circuit_j_profile_json,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,maximum_absolute_difference,maximum_distance_subset,structural_jaccard_overlap,structural_jaccard_distance,same_group_at_0_025,same_group_at_0_050,same_group_at_0_100
stage16-transfer-s1-cc55bd4162c8,C2,C7,"[0.9910741766697445,0.9918546365914787,0.9906015037593985,0.9866071428571429]","[0.9907663896583564,0.9912280701754386,0.9912280701754386,0.9872448979591837]",0.0003077870113881165,0.0006265664160400863,0.0006265664160400863,0.0006377551020407823,0.0006377551020407823,Q4,0.23507462686567165,0.7649253731343284,True,True,True
stage16-transfer-s1-cc55bd4162c8,C3,C4,"[0.9932286857494613,0.9893483709273183,0.9893483709273183,0.9885204081632653]","[0.9919975377039089,0.9902882205513784,0.9902882205513784,0.9875637755102041]",0.001231148045552466,0.0009398496240601295,0.0009398496240601295,0.000956632653061118,0.001231148045552466,Q1,0.12666666666666668,0.8733333333333333,True,True,True
stage16-transfer-s1-cc55bd4162c8,C3,C5,"[0.9932286857494613,0.9893483709273183,0.9893483709273183,0.9885204081632653]","[0.9926131117266851,0.9931077694235589,0.9921679197994987,0.9821428571428571]",0.000615574022776233,0.003759398496240629,0.0028195488721803885,0.0063775510204081565,0.0063775510204081565,Q4,0.19865319865319866,0.8013468013468014,True,True,True
stage16-transfer-s1-cc55bd4162c8,C3,C6,"[0.9932286857494613,0.9893483709273183,0.9893483709273183,0.9885204081632653]","[0.9932286857494613,0.9921679197994987,0.9912280701754386,0.9834183673469388]",0.0,0.0028195488721803885,0.001879699248120259,0.005102040816326481,0.005102040816326481,Q4,0.24475524475524477,0.7552447552447552,True,True,True
stage16-transfer-s1-cc55bd4162c8,C3,C7,"[0.9932286857494613,0.9893483709273183,0.9893483709273183,0.9885204081632653]","[0.9907663896583564,0.9912280701754386,0.9912280701754386,0.9872448979591837]",0.002462296091104932,0.001879699248120259,0.001879699248120259,0.0012755102040815647,0.002462296091104932,Q1,0.26838235294117646,0.7316176470588235,True,True,True
stage16-transfer-s1-cc55bd4162c8,C4,C5,"[0.9919975377039089,0.9902882205513784,0.9902882205513784,0.9875637755102041]","[0.9926131117266851,0.9931077694235589,0.9921679197994987,0.9821428571428571]",0.000615574022776233,0.0028195488721804995,0.001879699248120259,0.0054209183673470385,0.0054209183673470385,Q4,0.1476510067114094,0.8523489932885906,True,True,True
stage16-transfer-s1-cc55bd4162c8,C4,C6,"[0.9919975377039089,0.9902882205513784,0.9902882205513784,0.9875637755102041]","[0.9932286857494613,0.9921679197994987,0.9912280701754386,0.9834183673469388]",0.001231148045552466,0.001879699248120259,0.0009398496240601295,0.004145408163265363,0.004145408163265363,Q4,0.17123287671232876,0.8287671232876712,True,True,True
stage16-transfer-s1-cc55bd4162c8,C4,C7,"[0.9919975377039089,0.9902882205513784,0.9902882205513784,0.9875637755102041]","[0.9907663896583564,0.9912280701754386,0.9912280701754386,0.9872448979591837]",0.001231148045552466,0.0009398496240601295,0.0009398496240601295,0.0003188775510204467,0.001231148045552466,Q1,0.23048327137546468,0.7695167286245354,True,True,True
stage16-transfer-s1-cc55bd4162c8,C5,C6,"[0.9926131117266851,0.9931077694235589,0.9921679197994987,0.9821428571428571]","[0.9932286857494613,0.9921679197994987,0.9912280701754386,0.9834183673469388]",0.000615574022776233,0.0009398496240602405,0.0009398496240601295,0.0012755102040816757,0.0012755102040816757,Q4,0.18032786885245902,0.819672131147541,True,True,True
stage16-transfer-s1-cc55bd4162c8,C5,C7,"[0.9926131117266851,0.9931077694235589,0.9921679197994987,0.9821428571428571]","[0.9907663896583564,0.9912280701754386,0.9912280701754386,0.9872448979591837]",0.001846722068328699,0.00187969924812037,0.0009398496240601295,0.005102040816326592,0.005102040816326592,Q4,0.1952054794520548,0.8047945205479452,True,True,True
stage16-transfer-s1-cc55bd4162c8,C6,C7,"[0.9932286857494613,0.9921679197994987,0.9912280701754386,0.9834183673469388]","[0.9907663896583564,0.9912280701754386,0.9912280701754386,0.9872448979591837]",0.002462296091104932,0.0009398496240601295,0.0,0.003826530612244916,0.003826530612244916,Q4,0.15562913907284767,0.8443708609271523,True,True,True
