stage18_run_id,comparison_id,matching_method,model_seed,left_checkpoint_step,right_checkpoint_step,left_cell_id,right_cell_id,left_family_size,right_family_size,left_family_right_censored,right_family_right_censored,matching_tolerance,matched_count,unmatched_left_count,unmatched_right_count,total_absolute_match_difference,comparison_status,left_matched_median_fidelity,right_matched_median_fidelity,fidelity_change_right_minus_left,left_matched_median_retained_components,right_matched_median_retained_components,retained_component_change_right_minus_left,left_matched_median_pairwise_overlap,right_matched_median_pairwise_overlap,left_matched_structural_diversity,right_matched_structural_diversity,structural_diversity_change_right_minus_left
stage18-scaling-24a9adb84176,s2-step3400-to-step8500,matched_fidelity,2,3400,8500,s2-step3400-f99of100-d1of2,s2-step8500-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step3400-to-step8650,matched_fidelity,2,3400,8650,s2-step3400-f99of100-d1of2,s2-step8650-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step3400-to-step9050,matched_fidelity,2,3400,9050,s2-step3400-f99of100-d1of2,s2-step9050-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step7450-to-step8150,matched_fidelity,2,7450,8150,s2-step7450-f99of100-d1of2,s2-step8150-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step7450-to-step8500,matched_fidelity,2,7450,8500,s2-step7450-f99of100-d1of2,s2-step8500-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step7450-to-step8650,matched_fidelity,2,7450,8650,s2-step7450-f99of100-d1of2,s2-step8650-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step7450-to-step9050,matched_fidelity,2,7450,9050,s2-step7450-f99of100-d1of2,s2-step9050-f99of100-d1of2,0,7,False,False,0.01,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step8150-to-step8500,matched_fidelity,2,8150,8500,s2-step8150-f99of100-d1of2,s2-step8500-f99of100-d1of2,7,7,False,False,0.01,7,0,0,0.0010964053567234,matched,0.9902889811261649,0.9901323517894902,-0.0001566293366747,116,102,-14,0.26519337016574585,0.1858974358974359,0.73480662983425415,0.8141025641025641,0.07929593426830995
stage18-scaling-24a9adb84176,s2-step8150-to-step8650,matched_fidelity,2,8150,8650,s2-step8150-f99of100-d1of2,s2-step8650-f99of100-d1of2,7,7,False,False,0.01,7,0,0,0.0006265173466991,matched,0.9902889811261649,0.9902106664578275,-0.0000783146683374,116,92,-24,0.26519337016574585,0.1875,0.73480662983425415,0.8125,0.07769337016574585
stage18-scaling-24a9adb84176,s2-step8150-to-step9050,matched_fidelity,2,8150,9050,s2-step8150-f99of100-d1of2,s2-step9050-f99of100-d1of2,7,7,False,False,0.01,7,0,0,0.0005482026783617,matched,0.9902889811261649,0.9902106664578275,-0.0000783146683374,116,85,-31,0.26519337016574585,0.16216216216216217,0.73480662983425415,0.83783783783783783,0.10303120800358368
stage18-scaling-24a9adb84176,s2-step8500-to-step8650,matched_fidelity,2,8500,8650,s2-step8500-f99of100-d1of2,s2-step8650-f99of100-d1of2,7,7,False,False,0.01,7,0,0,0.0006265173466989,matched,0.9901323517894902,0.9902106664578275,0.0000783146683373,102,92,-10,0.1858974358974359,0.1875,0.8141025641025641,0.8125,-0.0016025641025641
stage18-scaling-24a9adb84176,s2-step8500-to-step9050,matched_fidelity,2,8500,9050,s2-step8500-f99of100-d1of2,s2-step9050-f99of100-d1of2,7,7,False,False,0.01,7,0,0,0.0010180906883857,matched,0.9901323517894902,0.9902106664578275,0.0000783146683373,102,85,-17,0.1858974358974359,0.16216216216216217,0.8141025641025641,0.83783783783783783,0.02373527373527373
stage18-scaling-24a9adb84176,s2-step8650-to-step9050,matched_fidelity,2,8650,9050,s2-step8650-f99of100-d1of2,s2-step9050-f99of100-d1of2,7,7,False,False,0.01,7,0,0,0.0003915733416868,matched,0.9902106664578275,0.9902106664578275,0E-16,92,85,-7,0.1875,0.16216216216216217,0.8125,0.83783783783783783,0.02533783783783783
stage18-scaling-24a9adb84176,s3-step200-to-step3400,matched_fidelity,3,200,3400,s3-step200-f99of100-d1of2,s3-step3400-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step200-to-step7450,matched_fidelity,3,200,7450,s3-step200-f99of100-d1of2,s3-step7450-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step200-to-step8150,matched_fidelity,3,200,8150,s3-step200-f99of100-d1of2,s3-step8150-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step200-to-step8500,matched_fidelity,3,200,8500,s3-step200-f99of100-d1of2,s3-step8500-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step200-to-step8650,matched_fidelity,3,200,8650,s3-step200-f99of100-d1of2,s3-step8650-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step200-to-step9050,matched_fidelity,3,200,9050,s3-step200-f99of100-d1of2,s3-step9050-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step3400-to-step7450,matched_fidelity,3,3400,7450,s3-step3400-f99of100-d1of2,s3-step7450-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step3400-to-step8150,matched_fidelity,3,3400,8150,s3-step3400-f99of100-d1of2,s3-step8150-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step3400-to-step8500,matched_fidelity,3,3400,8500,s3-step3400-f99of100-d1of2,s3-step8500-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step3400-to-step8650,matched_fidelity,3,3400,8650,s3-step3400-f99of100-d1of2,s3-step8650-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step3400-to-step9050,matched_fidelity,3,3400,9050,s3-step3400-f99of100-d1of2,s3-step9050-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step7450-to-step8150,matched_fidelity,3,7450,8150,s3-step7450-f99of100-d1of2,s3-step8150-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step7450-to-step8500,matched_fidelity,3,7450,8500,s3-step7450-f99of100-d1of2,s3-step8500-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step7450-to-step8650,matched_fidelity,3,7450,8650,s3-step7450-f99of100-d1of2,s3-step8650-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step7450-to-step9050,matched_fidelity,3,7450,9050,s3-step7450-f99of100-d1of2,s3-step9050-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s3-step8150-to-step8500,matched_fidelity,3,8150,8500,s3-step8150-f99of100-d1of2,s3-step8500-f99of100-d1of2,0,0,False,False,0.01,0,0,0,0,both_families_empty,,,,,,,,,,,
