run_id,mode,training_step,learning_rate,weight_norm,gradient_norm,train_loss,test_loss,train_accuracy,test_accuracy
modular-addition-training-s1-5f1bc9dee7ab,full,950,0.001,59.6676139831543,1.5258107850968372e-05,8.214135050366167e-06,26.469314575195312,1.0,0.07853227108716965
modular-addition-training-s1-5f1bc9dee7ab,full,1000,0.001,59.61414337158203,9.438745109946467e-06,5.039021289121592e-06,27.005735397338867,1.0,0.07886788249015808
modular-addition-training-s1-5f1bc9dee7ab,full,1050,0.001,59.51122283935547,7.79588572186185e-06,3.15390434479923e-06,27.49875831604004,1.0,0.07965096831321716
modular-addition-training-s1-5f1bc9dee7ab,full,1100,0.001,59.35167694091797,4.531685135589214e-06,2.0432701148820342e-06,27.901968002319336,1.0,0.08121713995933533
modular-addition-training-s1-5f1bc9dee7ab,full,1150,0.001,59.14018630981445,3.0890812467987416e-06,1.3701587704417761e-06,28.233434677124023,1.0,0.08200022578239441
modular-addition-training-s1-5f1bc9dee7ab,full,1200,0.001,58.8712043762207,2.3138377400755417e-06,9.678668675405788e-07,28.47237205505371,1.0,0.08278331160545349
modular-addition-training-s1-5f1bc9dee7ab,full,1250,0.001,58.528541564941406,1.9198294012312545e-06,7.596712521262816e-07,28.444988250732422,1.0,0.08356639742851257
modular-addition-training-s1-5f1bc9dee7ab,full,1300,0.001,58.15300750732422,1.5387358871521428e-06,6.3230714886231e-07,28.242502212524414,1.0,0.08636312931776047
modular-addition-training-s1-5f1bc9dee7ab,full,1350,0.001,57.824066162109375,1.810349431252689e-06,5.330179533302726e-07,28.074481964111328,1.0,0.0875936895608902
modular-addition-training-s1-5f1bc9dee7ab,full,1400,0.001,57.727787017822266,4.901305601379136e-06,4.5056751218908175e-07,28.46953582763672,1.0,0.08804117143154144
modular-addition-training-s1-5f1bc9dee7ab,full,1450,0.001,55.85108184814453,0.4948716163635254,0.00871849711984396,23.866769790649414,0.9994778037071228,0.07685423642396927
modular-addition-training-s1-5f1bc9dee7ab,full,1500,0.001,53.29477310180664,0.012621453031897545,0.001967326970770955,17.531679153442383,1.0,0.08915986120700836
modular-addition-training-s1-5f1bc9dee7ab,full,1550,0.001,51.39868927001953,0.012423631735146046,0.0061745778657495975,13.687411308288574,1.0,0.09262780845165253
modular-addition-training-s1-5f1bc9dee7ab,full,1600,0.001,50.73515319824219,0.01604759693145752,0.013744847849011421,11.820472717285156,1.0,0.08915986120700836
modular-addition-training-s1-5f1bc9dee7ab,full,1650,0.001,51.11272430419922,0.015024722553789616,0.014456188306212425,11.725253105163574,1.0,0.08826490491628647
modular-addition-training-s1-5f1bc9dee7ab,full,1700,0.001,51.79581832885742,0.01049057673662901,0.00981483981013298,12.374711036682129,1.0,0.08983107656240463
modular-addition-training-s1-5f1bc9dee7ab,full,1750,0.001,52.52217102050781,0.007083424367010593,0.0062181283719837666,13.134072303771973,1.0,0.0894954726099968
modular-addition-training-s1-5f1bc9dee7ab,full,1800,0.001,53.271453857421875,0.004689841065555811,0.0038604792207479477,13.923516273498535,1.0,0.08927173167467117
modular-addition-training-s1-5f1bc9dee7ab,full,1850,0.001,54.024295806884766,0.0030787147115916014,0.002366902306675911,14.72676944732666,1.0,0.08848864585161209
