stage11_run_id,source_training_run_id,checkpoint_step,checkpoint_sha256,fidelity_threshold,mask_index,seed_material,seed_digest,seed_uint64,bit_generator,numpy_version,sampling_definition,target_retained_components,retained_heads,retained_neurons,retained_components,mask_id,mask_sha256,prediction_agreement_count,evaluated_example_count,primary_fidelity,passes_candidate_threshold,full_accuracy,masked_accuracy,accuracy_change,full_cross_entropy,masked_cross_entropy,cross_entropy_change,mean_kl_divergence,mean_jensen_shannon_divergence,maximum_absolute_logit_difference
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,20,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,2,144,146,component-mask-43435d16e372c0d8,89ffa75070a338cc1082b43946f400445aa66fd8a273f3b7e3c1a69662374118,2250,12769,0.1762080037591041,False,0.999373482653301,0.17589474508575456,-0.8234787375675464,0.001897166918885118,3.9542704153951407,3.9523732484762557,3.9501291468339237,0.5483581052840862,108.67951965332031
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,21,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,2,144,146,component-mask-6d1abe7f19cca727,62149619b0be7dda048ae870117a7ac08456a23522e450824c01849794dd8c0f,1340,12769,0.10494165557208865,False,0.999373482653301,0.10494165557208865,-0.8944318270812123,0.001897166918885118,4.44018896551569,4.438291798596804,4.435873641897329,0.5961856141100433,107.30962371826172
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,22,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,0,146,146,component-mask-ecff1b2c380eb129,add19bcb296df65f74be153e450973ac743b525cef015612194bde1a40360c0d,113,12769,0.008849557522123894,False,0.999373482653301,0.008849557522123894,-0.990523925131177,0.001897166918885118,4.788886791836899,4.7869896249180135,4.7854261826643585,0.6676384222583097,126.71532440185547
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,23,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-424e215d3466252a,b4e0712fbbc7eb87f635aeebc7a074d1a4309023f377c605ec72ce1084dedcc2,625,12769,0.04894666771086224,False,0.999373482653301,0.04894666771086224,-0.9504268149424387,0.001897166918885118,4.688541710313722,4.686644543394837,4.684580536078283,0.6393802437412869,119.00934600830078
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,24,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,2,144,146,component-mask-6598bc5d34f4c8b1,20a1c892ad1b8a880c397468ecf892319f872884d731b0c183bcbdf8ad989f98,1709,12769,0.13383976818858173,False,0.999373482653301,0.13383976818858173,-0.8655337144647193,0.001897166918885118,4.345046529644261,4.343149362725375,4.340028623726847,0.5792373872603277,115.69445037841797
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,25,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,2,144,146,component-mask-6982c751269de76d,f9a8f4596b50100d20ad00d2d9d89e173a9ff6dd4ddf4d19e97d91de4e478eb7,1861,12769,0.14574359777586343,False,0.999373482653301,0.14566528310752605,-0.8537081995457749,0.001897166918885118,4.172169531810565,4.170272364891679,4.167951371665171,0.5720150747316536,115.7085189819336
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,26,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-03b95d425d2ef907,938e1d83e8fbbae6292ee4e1ea133c0b26a3af61587132ee8b04ec0f87896ee0,647,12769,0.05066959041428459,False,0.999373482653301,0.05066959041428459,-0.9487038922390163,0.001897166918885118,4.688466201817964,4.686569034899079,4.683881269918275,0.6425997951429091,121.83549499511719
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,27,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-06b2245d3248a875,1607157534e77b5f8e5edc68271d73f5c577b071b43dc261c2e693b685ef59fd,577,12769,0.045187563630668025,False,0.999373482653301,0.045187563630668025,-0.954185919022633,0.001897166918885118,5.0972624976415215,5.095365330722636,5.093237833256392,0.6422586323081751,119.49812316894531
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,28,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-715dbd45207ef96f,7b84a74d487bb2a3759def9765fed0168a53f7699a020e5b8d5b2dcc476d0756,560,12769,0.04385621426893257,False,0.999373482653301,0.04385621426893257,-0.9555172683843683,0.001897166918885118,4.953947828549152,4.952050661630267,4.949696715679891,0.6412436568843926,121.72573852539062
stage11-calibration-s1-c2856467c00f,modular-addition-training-s1-5f1bc9dee7ab,9050,5b449db5ff9a62d5b621450c013bc25949499ed767e6db1723561a4e87ab8d70,0.99,29,circuit-families|stage11-random-mask-calibration|training_run=modular-addition-training-s1-5f1bc9dee7ab|checkpoint_step=9050|threshold=0.990000|component_universe=516|replicates=100,c5769f55610f0d419d6d60cd50b5dcb342de707d328d84913f2673077d214e19,14228735261773073729,PCG64,2.4.6,uniform subset without replacement over all 516 searchable components; no head/neuron stratification,146,1,145,146,component-mask-d39a2db8fd86e419,e5c655a03943cc607b9cf985fcb26a0792554cf98f8fa7e103a86f386a593510,546,12769,0.042759808912209256,False,0.999373482653301,0.042759808912209256,-0.9566136737410917,0.001897166918885118,5.253059755440409,5.251162588521524,5.24921816787235,0.6451580635085906,121.61235809326172
