between_group_minimum_distance,cell_id,cell_index,complete_linkage_valid,group_count,group_id,ordered_members_json,source_run_id,source_stage,tolerance,tolerance_denominator,tolerance_numerator,transfer_execution_mode,within_group_maximum_distance,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
,s0-step8500-f19of20-d1of4,82,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.020621729763004026,stage18-scaling-24a9adb84176,0,5,8500,82
,s0-step8500-f19of20-d1of2,83,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.020621729763004026,stage18-scaling-24a9adb84176,0,5,8500,83
,s0-step8500-f19of20-d3of4,84,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.020621729763004026,stage18-scaling-24a9adb84176,0,5,8500,84
,s0-step8500-f39of40-d1of4,85,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5""]",,,0.05,20,1,fresh_execution,0.007971938775510168,stage18-scaling-24a9adb84176,0,5,8500,85
,s0-step8500-f39of40-d1of2,86,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.010522959183673408,stage18-scaling-24a9adb84176,0,5,8500,86
,s0-step8500-f39of40-d3of4,87,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.010522959183673408,stage18-scaling-24a9adb84176,0,5,8500,87
,s0-step8500-f99of100-d1of4,88,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5""]",,,0.05,20,1,fresh_execution,0.007015306122448939,stage18-scaling-24a9adb84176,0,5,8500,88
,s0-step8500-f99of100-d1of2,89,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",,,0.05,20,1,fresh_execution,0.007015306122448939,stage18-scaling-24a9adb84176,0,5,8500,89
,s0-step8500-f99of100-d3of4,90,True,1,G01,"[""C1"",""C2"",""C3"",""C4"",""C5"",""C6"",""C7""]",,,0.05,20,1,fresh_execution,0.007015306122448939,stage18-scaling-24a9adb84176,0,5,8500,90
0.020050125313283207,s0-step8650-f4of5-d1of4,91,True,2,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.0166204986149584,stage18-scaling-24a9adb84176,0,6,8650,91
0.020050125313283207,s0-step8650-f4of5-d1of4,91,True,2,G02,"[""C3"",""C4"",""C5""]",,,0.05,20,1,fresh_execution,0.021045918367346927,stage18-scaling-24a9adb84176,0,6,8650,91
0.020050125313283207,s0-step8650-f4of5-d1of2,92,True,2,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.0166204986149584,stage18-scaling-24a9adb84176,0,6,8650,92
0.020050125313283207,s0-step8650-f4of5-d1of2,92,True,2,G02,"[""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.021045918367346927,stage18-scaling-24a9adb84176,0,6,8650,92
0.020050125313283207,s0-step8650-f4of5-d3of4,93,True,2,G01,"[""C1"",""C2""]",,,0.05,20,1,fresh_execution,0.0166204986149584,stage18-scaling-24a9adb84176,0,6,8650,93
0.020050125313283207,s0-step8650-f4of5-d3of4,93,True,2,G02,"[""C3"",""C4"",""C5"",""C6""]",,,0.05,20,1,fresh_execution,0.021045918367346927,stage18-scaling-24a9adb84176,0,6,8650,93
