stage17_run_id,record_type,cell_index,cell_id,circuit_id,elapsed_seconds,included_in_deterministic_scientific_hashes
stage17-sensitivity-s1-7801e7938531,transfer_circuit,9,s1-step9050-f9of10-d3of4,C6,0.15838033286854625,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,9,s1-step9050-f9of10-d3of4,C7,0.16543962503783405,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,10,s1-step9050-f19of20-d1of4,C1,0.1727325830142945,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,10,s1-step9050-f19of20-d1of4,C2,0.17855791584588587,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,10,s1-step9050-f19of20-d1of4,C3,0.17293437500484288,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,10,s1-step9050-f19of20-d1of4,C4,0.18343383306637406,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,11,s1-step9050-f19of20-d1of2,C1,0.14519962505437434,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,11,s1-step9050-f19of20-d1of2,C2,0.1416210001334548,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,11,s1-step9050-f19of20-d1of2,C3,0.14410704211331904,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,11,s1-step9050-f19of20-d1of2,C4,0.14408091688528657,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,11,s1-step9050-f19of20-d1of2,C5,0.14137154095806181,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,11,s1-step9050-f19of20-d1of2,C6,0.13896912499330938,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,11,s1-step9050-f19of20-d1of2,C7,0.14005370810627937,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,12,s1-step9050-f19of20-d3of4,C1,0.138565958943218,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,12,s1-step9050-f19of20-d3of4,C2,0.13999054091982543,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,12,s1-step9050-f19of20-d3of4,C3,0.13896308396942914,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,12,s1-step9050-f19of20-d3of4,C4,0.14015799993649125,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,12,s1-step9050-f19of20-d3of4,C5,0.1393052078783512,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,12,s1-step9050-f19of20-d3of4,C6,0.1392204170115292,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,12,s1-step9050-f19of20-d3of4,C7,0.13852437515743077,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,13,s1-step9050-f39of40-d1of4,C1,0.13827495812438428,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,13,s1-step9050-f39of40-d1of4,C2,0.13918791711330414,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,13,s1-step9050-f39of40-d1of4,C3,0.13912904192693532,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,13,s1-step9050-f39of40-d1of4,C4,0.14133516605943441,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,14,s1-step9050-f39of40-d1of2,C1,0.14963533403351903,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,14,s1-step9050-f39of40-d1of2,C2,0.1475639168638736,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,14,s1-step9050-f39of40-d1of2,C3,0.13802854204550385,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,14,s1-step9050-f39of40-d1of2,C4,0.13902825000695884,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,14,s1-step9050-f39of40-d1of2,C5,0.1386673750821501,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,14,s1-step9050-f39of40-d1of2,C6,0.14222958288155496,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,14,s1-step9050-f39of40-d1of2,C7,0.13863083394244313,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,15,s1-step9050-f39of40-d3of4,C1,0.1387494159862399,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,15,s1-step9050-f39of40-d3of4,C2,0.1380472918972373,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,15,s1-step9050-f39of40-d3of4,C3,0.1390544578898698,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,15,s1-step9050-f39of40-d3of4,C4,0.138649458065629,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,15,s1-step9050-f39of40-d3of4,C5,0.14250595797784626,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,15,s1-step9050-f39of40-d3of4,C6,0.1542313750833273,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,15,s1-step9050-f39of40-d3of4,C7,0.14242370799183846,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,16,s1-step9050-f99of100-d1of4,C1,0.1407601668033749,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,16,s1-step9050-f99of100-d1of4,C2,0.13848441606387496,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,16,s1-step9050-f99of100-d1of4,C3,0.13807970797643065,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,18,s1-step9050-f99of100-d3of4,C1,0.1390761670190841,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,18,s1-step9050-f99of100-d3of4,C2,0.13834187504835427,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,18,s1-step9050-f99of100-d3of4,C3,0.137499958043918,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,18,s1-step9050-f99of100-d3of4,C4,0.13949583400972188,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,18,s1-step9050-f99of100-d3of4,C5,0.13940145913511515,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,18,s1-step9050-f99of100-d3of4,C6,0.13988466700538993,False
stage17-sensitivity-s1-7801e7938531,transfer_circuit,18,s1-step9050-f99of100-d3of4,C7,0.13974904199130833,False
