stage17_run_id,cell_index,cell_id,circuit_i,circuit_j,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,maximum_absolute_difference,maximum_distance_subset,same_primary_transfer_group
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C2,C7,0.022160664819944498,0.0025062656641603454,0.004072681704260672,0.01211734693877553,0.022160664819944498,Q1,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C3,C4,0.029547553093259515,0.016917293233082775,0.017230576441102707,0.004464285714285698,0.029547553093259515,Q1,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C3,C5,0.0033856571252692813,0.011278195488721776,0.01065162907268169,0.025829081632653073,0.025829081632653073,Q4,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C3,C6,0.007386888273314907,0.006892230576441172,0.00877192982456143,0.008609693877551061,0.00877192982456143,Q3,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C3,C7,0.006463527239150446,0.0015664160401003269,0.004072681704260672,0.008928571428571508,0.008928571428571508,Q4,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C4,C5,0.0329332102185288,0.005639097744360999,0.006578947368421018,0.021364795918367374,0.0329332102185288,Q1,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C4,C6,0.02216066481994461,0.010025062656641603,0.008458646616541277,0.004145408163265363,0.02216066481994461,Q1,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C4,C7,0.03601108033240996,0.015350877192982448,0.013157894736842035,0.0044642857142858094,0.03601108033240996,Q1,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C5,C6,0.010772545398584188,0.004385964912280604,0.001879699248120259,0.01721938775510201,0.01721938775510201,Q4,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C5,C7,0.003077870113881165,0.00971177944862145,0.006578947368421018,0.016900510204081565,0.016900510204081565,Q4,True
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,C6,C7,0.013850415512465353,0.005325814536340845,0.0046992481203007586,0.0003188775510204467,0.013850415512465353,Q1,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,C1,C2,0.006463527239150446,0.003446115288220475,0.0006265664160400863,0.0006377551020408934,0.006463527239150446,Q1,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,C1,C3,0.001231148045552466,0.0015664160401002158,0.003759398496240518,0.007653061224489832,0.007653061224489832,Q4,True
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,C1,C4,0.0,0.0025062656641603454,0.005325814536340845,0.007971938775510279,0.007971938775510279,Q4,True
