stage17_run_id,cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,6,C6,True,0,0.8527684235257263,68,0.13178294573643412,30,109,0.27522935779816515,0.24443454315169447,43253,7300,449,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,7,C7,False,0,0.883859346855666,95,,17,66,0.25757575757575757,,50000,6747,422,1,budget_exhaustion,requested_member_7_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,1,C1,True,0,0.9003054272065157,82,0.15891472868217055,0,1,0.0,,7042,7042,435,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,2,C2,True,0,0.9000704832015036,86,0.16666666666666666,11,73,0.1506849315068493,0.1506849315068493,14024,6982,431,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,3,C3,True,0,0.9002271125381784,109,0.21124031007751937,30,161,0.18633540372670807,0.14401515949047267,20645,6621,408,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,4,C4,False,1,0.9992951679849635,326,,53,355,0.14929577464788732,,30645,10000,617,2,budget_exhaustion,requested_member_4_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,1,C1,True,0,0.9003054272065157,82,0.15891472868217055,0,1,0.0,,7042,7042,435,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,2,C2,True,0,0.9000704832015036,86,0.16666666666666666,11,73,0.1506849315068493,0.1506849315068493,14024,6982,431,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,3,C3,True,0,0.9002271125381784,109,0.21124031007751937,30,161,0.18633540372670807,0.14401515949047267,20645,6621,408,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,4,C4,True,0,0.900148797869841,91,0.17635658914728683,39,134,0.291044776119403,0.2112784912646072,27600,6955,426,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,5,C5,True,0,0.9002271125381784,89,0.17248062015503876,2,7,0.2857142857142857,0.23200295704625243,34633,7033,428,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,6,C6,True,0,0.900148797869841,86,0.16666666666666666,17,69,0.2463768115942029,0.19928180658960964,41663,7030,431,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,7,C7,True,0,0.9010885738898896,90,0.1744186046511628,35,137,0.25547445255474455,0.21748409215144515,48585,6922,427,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,8,C8,False,0,0.9994517973216384,428,,86,451,0.19068736141906872,,50000,1415,89,1,budget_exhaustion,requested_member_8_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,1,C1,True,0,0.9003054272065157,82,0.15891472868217055,0,1,0.0,,7042,7042,435,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,2,C2,True,0,0.9000704832015036,86,0.16666666666666666,11,73,0.1506849315068493,0.1506849315068493,14024,6982,431,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,3,C3,True,0,0.9002271125381784,109,0.21124031007751937,30,161,0.18633540372670807,0.14401515949047267,20645,6621,408,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,4,C4,True,0,0.900148797869841,91,0.17635658914728683,39,134,0.291044776119403,0.2112784912646072,27600,6955,426,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,5,C5,True,0,0.9002271125381784,89,0.17248062015503876,2,7,0.2857142857142857,0.23200295704625243,34633,7033,428,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,6,C6,True,0,0.900148797869841,86,0.16666666666666666,17,69,0.2463768115942029,0.19928180658960964,41663,7030,431,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,7,C7,True,0,0.9010885738898896,90,0.1744186046511628,35,137,0.25547445255474455,0.21748409215144515,48585,6922,427,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,9,s1-step9050-f9of10-d3of4,8,C8,False,0,0.9994517973216384,428,,86,451,0.19068736141906872,,50000,1415,89,1,budget_exhaustion,requested_member_8_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,1,C1,True,0,0.950896702952463,108,0.20930232558139536,0,1,0.0,,6780,6780,409,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,2,C2,True,0,0.9501135562690892,105,0.20348837209302326,22,191,0.11518324607329843,0.11518324607329843,13573,6793,412,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,3,C3,True,0,0.9500352416007518,115,0.22286821705426357,30,193,0.15544041450777202,0.1447305165322365,20152,6579,402,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,4,C4,True,0,0.950896702952463,92,0.17829457364341086,9,41,0.21951219512195122,0.18260908331914824,27172,7020,425,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,10,s1-step9050-f19of20-d1of4,5,C5,False,1,0.9960059519147937,295,,63,340,0.18529411764705883,,37172,10000,616,2,budget_exhaustion,requested_member_5_budget_exhaustion,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,1,C1,True,0,0.950896702952463,108,0.20930232558139536,0,1,0.0,,6780,6780,409,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,2,C2,True,0,0.9501135562690892,105,0.20348837209302326,22,191,0.11518324607329843,0.11518324607329843,13573,6793,412,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,3,C3,True,0,0.9500352416007518,115,0.22286821705426357,30,193,0.15544041450777202,0.1447305165322365,20152,6579,402,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,4,C4,True,0,0.950896702952463,92,0.17829457364341086,9,41,0.21951219512195122,0.18260908331914824,27172,7020,425,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,5,C5,True,0,0.9501918709374266,123,0.23837209302325582,17,60,0.2833333333333333,0.19529364868034818,33631,6459,394,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,6,C6,True,0,0.9501135562690892,99,0.19186046511627908,47,160,0.29375,0.21262813832435956,40434,6803,418,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,7,C7,True,0,0.950505129610776,95,0.18410852713178294,48,155,0.3096774193548387,0.2278608543445173,47361,6927,422,1,accepted,,False,fresh_execution
stage17-sensitivity-s1-7801e7938531,11,s1-step9050-f19of20-d1of2,8,C8,False,0,0.9961625812514684,352,,74,401,0.18453865336658354,,50000,2639,165,1,budget_exhaustion,requested_member_8_budget_exhaustion,False,fresh_execution
