cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,circuit_count,minimum_retained_components,maximum_retained_components,mean_retained_components,median_retained_components,minimum_retained_proportion,maximum_retained_proportion,mean_retained_proportion,median_retained_proportion,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
57,s0-step8150-f4of5-d3of4,4,5,0.800,3,4,0.75,6,44,47,45,45.0,0.08527131782945736,0.09108527131782945,0.0872093023255814,0.0872093023255814,stage18-scaling-24a9adb84176,0,4,8150,57
58,s0-step8150-f17of20-d1of4,17,20,0.850,1,4,0.25,3,49,51,50.333333333333336,51,0.09496124031007752,0.09883720930232558,0.09754521963824289,0.09883720930232558,stage18-scaling-24a9adb84176,0,4,8150,58
59,s0-step8150-f17of20-d1of2,17,20,0.850,1,2,0.50,6,44,53,50,51.0,0.08527131782945736,0.10271317829457365,0.09689922480620156,0.09883720930232558,stage18-scaling-24a9adb84176,0,4,8150,59
60,s0-step8150-f17of20-d3of4,17,20,0.850,3,4,0.75,6,44,53,50,51.0,0.08527131782945736,0.10271317829457365,0.09689922480620156,0.09883720930232558,stage18-scaling-24a9adb84176,0,4,8150,60
61,s0-step8150-f9of10-d1of4,9,10,0.900,1,4,0.25,3,53,56,55,56,0.10271317829457365,0.10852713178294573,0.1065891472868217,0.10852713178294573,stage18-scaling-24a9adb84176,0,4,8150,61
62,s0-step8150-f9of10-d1of2,9,10,0.900,1,2,0.50,6,53,59,56.5,56.0,0.10271317829457365,0.11434108527131782,0.10949612403100775,0.10852713178294573,stage18-scaling-24a9adb84176,0,4,8150,62
63,s0-step8150-f9of10-d3of4,9,10,0.900,3,4,0.75,6,53,59,56.5,56.0,0.10271317829457365,0.11434108527131782,0.10949612403100775,0.10852713178294573,stage18-scaling-24a9adb84176,0,4,8150,63
64,s0-step8150-f19of20-d1of4,19,20,0.950,1,4,0.25,2,63,67,65,65.0,0.12209302325581395,0.1298449612403101,0.12596899224806202,0.12596899224806202,stage18-scaling-24a9adb84176,0,4,8150,64
65,s0-step8150-f19of20-d1of2,19,20,0.950,1,2,0.50,6,62,71,65,63.5,0.12015503875968993,0.1375968992248062,0.12596899224806202,0.12306201550387597,stage18-scaling-24a9adb84176,0,4,8150,65
66,s0-step8150-f19of20-d3of4,19,20,0.950,3,4,0.75,6,62,71,65,63.5,0.12015503875968993,0.1375968992248062,0.12596899224806202,0.12306201550387597,stage18-scaling-24a9adb84176,0,4,8150,66
67,s0-step8150-f39of40-d1of4,39,40,0.975,1,4,0.25,5,72,76,74.4,75,0.13953488372093023,0.14728682170542637,0.14418604651162792,0.14534883720930233,stage18-scaling-24a9adb84176,0,4,8150,67
68,s0-step8150-f39of40-d1of2,39,40,0.975,1,2,0.50,6,72,77,74.83333333333333,75.5,0.13953488372093023,0.14922480620155038,0.14502583979328165,0.14631782945736435,stage18-scaling-24a9adb84176,0,4,8150,68
69,s0-step8150-f39of40-d3of4,39,40,0.975,3,4,0.75,6,72,77,74.83333333333333,75.5,0.13953488372093023,0.14922480620155038,0.14502583979328165,0.14631782945736435,stage18-scaling-24a9adb84176,0,4,8150,69
70,s0-step8150-f99of100-d1of4,99,100,0.990,1,4,0.25,5,79,87,83.6,84,0.15310077519379844,0.1686046511627907,0.162015503875969,0.16279069767441862,stage18-scaling-24a9adb84176,0,4,8150,70
71,s0-step8150-f99of100-d1of2,99,100,0.990,1,2,0.50,7,79,88,84.71428571428571,86,0.15310077519379844,0.17054263565891473,0.1641749723145072,0.16666666666666666,stage18-scaling-24a9adb84176,0,4,8150,71
72,s0-step8150-f99of100-d3of4,99,100,0.990,3,4,0.75,7,79,88,84.71428571428571,86,0.15310077519379844,0.17054263565891473,0.1641749723145072,0.16666666666666666,stage18-scaling-24a9adb84176,0,4,8150,72
73,s0-step8500-f4of5-d1of4,4,5,0.800,1,4,0.25,6,41,44,43,43.0,0.07945736434108527,0.08527131782945736,0.08333333333333333,0.08333333333333333,stage18-scaling-24a9adb84176,0,5,8500,73
74,s0-step8500-f4of5-d1of2,4,5,0.800,1,2,0.50,6,41,44,43,43.0,0.07945736434108527,0.08527131782945736,0.08333333333333333,0.08333333333333333,stage18-scaling-24a9adb84176,0,5,8500,74
75,s0-step8500-f4of5-d3of4,4,5,0.800,3,4,0.75,6,41,44,43,43.0,0.07945736434108527,0.08527131782945736,0.08333333333333333,0.08333333333333333,stage18-scaling-24a9adb84176,0,5,8500,75
76,s0-step8500-f17of20-d1of4,17,20,0.850,1,4,0.25,6,43,50,46.5,46.5,0.08333333333333333,0.09689922480620156,0.09011627906976744,0.09011627906976744,stage18-scaling-24a9adb84176,0,5,8500,76
77,s0-step8500-f17of20-d1of2,17,20,0.850,1,2,0.50,6,43,50,46.5,46.5,0.08333333333333333,0.09689922480620156,0.09011627906976744,0.09011627906976744,stage18-scaling-24a9adb84176,0,5,8500,77
78,s0-step8500-f17of20-d3of4,17,20,0.850,3,4,0.75,6,43,50,46.5,46.5,0.08333333333333333,0.09689922480620156,0.09011627906976744,0.09011627906976744,stage18-scaling-24a9adb84176,0,5,8500,78
79,s0-step8500-f9of10-d1of4,9,10,0.900,1,4,0.25,6,48,54,51.166666666666664,51.5,0.09302325581395349,0.10465116279069768,0.09916020671834626,0.0998062015503876,stage18-scaling-24a9adb84176,0,5,8500,79
80,s0-step8500-f9of10-d1of2,9,10,0.900,1,2,0.50,6,48,54,51.166666666666664,51.5,0.09302325581395349,0.10465116279069768,0.09916020671834626,0.0998062015503876,stage18-scaling-24a9adb84176,0,5,8500,80
81,s0-step8500-f9of10-d3of4,9,10,0.900,3,4,0.75,6,48,54,51.166666666666664,51.5,0.09302325581395349,0.10465116279069768,0.09916020671834626,0.0998062015503876,stage18-scaling-24a9adb84176,0,5,8500,81
