comparison_type,comparison_label,model_seed,independent_unit,left_checkpoint_step,right_checkpoint_step,left_phase_label,right_phase_label,phase_alignment_status,metric,left_value,right_value,source_defined,target_defined,paired_change_right_minus_left,metric_status,undefined_reason,inclusion_status,exclusion_reason,right_censoring_involved,direction
pre_to_transition,pre_to_grid_3,0,trained_model_seed,200,7450,delayed_pre_generalisation,stable_post,phase_misaligned,matched_fidelity_structural_diversity,,,False,False,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,excluded_from_metric_summary_undefined,matched_fidelity_requires_two_matched_circuits_per_condition,False,undefined
pre_to_transition,pre_to_grid_3,0,trained_model_seed,200,7450,delayed_pre_generalisation,stable_post,phase_misaligned,matched_sparsity_fidelity,,,False,False,,undefined,matched_sparsity_pair_unavailable,excluded_from_metric_summary_undefined,matched_sparsity_pair_unavailable,False,undefined
pre_to_transition,pre_to_grid_4,0,trained_model_seed,200,8150,delayed_pre_generalisation,stable_post,phase_misaligned,structural_family_size,0,7,True,True,7,defined,,included_in_metric_summary,,False,positive
pre_to_transition,pre_to_grid_4,0,trained_model_seed,200,8150,delayed_pre_generalisation,stable_post,phase_misaligned,transfer_distinct_group_count,,1,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_4,0,trained_model_seed,200,8150,delayed_pre_generalisation,stable_post,phase_misaligned,median_pairwise_overlap,,0.15333333333333332,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_4,0,trained_model_seed,200,8150,delayed_pre_generalisation,stable_post,phase_misaligned,median_circuit_size,,86,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_4,0,trained_model_seed,200,8150,delayed_pre_generalisation,stable_post,phase_misaligned,mean_transfer_fidelity,,0.990327836631948625,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_4,0,trained_model_seed,200,8150,delayed_pre_generalisation,stable_post,phase_misaligned,matched_fidelity_structural_diversity,,,False,False,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,excluded_from_metric_summary_undefined,matched_fidelity_requires_two_matched_circuits_per_condition,False,undefined
pre_to_transition,pre_to_grid_4,0,trained_model_seed,200,8150,delayed_pre_generalisation,stable_post,phase_misaligned,matched_sparsity_fidelity,,,False,False,,undefined,matched_sparsity_pair_unavailable,excluded_from_metric_summary_undefined,matched_sparsity_pair_unavailable,False,undefined
pre_to_transition,pre_to_grid_5,0,trained_model_seed,200,8500,delayed_pre_generalisation,stable_post,phase_misaligned,structural_family_size,0,7,True,True,7,defined,,included_in_metric_summary,,False,positive
pre_to_transition,pre_to_grid_5,0,trained_model_seed,200,8500,delayed_pre_generalisation,stable_post,phase_misaligned,transfer_distinct_group_count,,1,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_5,0,trained_model_seed,200,8500,delayed_pre_generalisation,stable_post,phase_misaligned,median_pairwise_overlap,,0.17424242424242425,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_5,0,trained_model_seed,200,8500,delayed_pre_generalisation,stable_post,phase_misaligned,median_circuit_size,,76,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_5,0,trained_model_seed,200,8500,delayed_pre_generalisation,stable_post,phase_misaligned,mean_transfer_fidelity,,0.9904234732575261928571428571,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_5,0,trained_model_seed,200,8500,delayed_pre_generalisation,stable_post,phase_misaligned,matched_fidelity_structural_diversity,,,False,False,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,excluded_from_metric_summary_undefined,matched_fidelity_requires_two_matched_circuits_per_condition,False,undefined
pre_to_transition,pre_to_grid_5,0,trained_model_seed,200,8500,delayed_pre_generalisation,stable_post,phase_misaligned,matched_sparsity_fidelity,,,False,False,,undefined,matched_sparsity_pair_unavailable,excluded_from_metric_summary_undefined,matched_sparsity_pair_unavailable,False,undefined
pre_to_transition,pre_to_grid_6,0,trained_model_seed,200,8650,delayed_pre_generalisation,stable_post,phase_misaligned,structural_family_size,0,6,True,True,6,defined,,included_in_metric_summary,,False,positive
pre_to_transition,pre_to_grid_6,0,trained_model_seed,200,8650,delayed_pre_generalisation,stable_post,phase_misaligned,transfer_distinct_group_count,,1,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_6,0,trained_model_seed,200,8650,delayed_pre_generalisation,stable_post,phase_misaligned,median_pairwise_overlap,,0.14960629921259844,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_6,0,trained_model_seed,200,8650,delayed_pre_generalisation,stable_post,phase_misaligned,median_circuit_size,,74.0,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_6,0,trained_model_seed,200,8650,delayed_pre_generalisation,stable_post,phase_misaligned,mean_transfer_fidelity,,0.9905494739158359333333333333,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
pre_to_transition,pre_to_grid_6,0,trained_model_seed,200,8650,delayed_pre_generalisation,stable_post,phase_misaligned,matched_fidelity_structural_diversity,,,False,False,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,excluded_from_metric_summary_undefined,matched_fidelity_requires_two_matched_circuits_per_condition,False,undefined
pre_to_transition,pre_to_grid_6,0,trained_model_seed,200,8650,delayed_pre_generalisation,stable_post,phase_misaligned,matched_sparsity_fidelity,,,False,False,,undefined,matched_sparsity_pair_unavailable,excluded_from_metric_summary_undefined,matched_sparsity_pair_unavailable,False,undefined
transition_to_post,grid_2_to_post,0,trained_model_seed,3400,9050,transition,stable_post,phase_aligned,structural_family_size,0,6,True,True,6,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_2_to_post,0,trained_model_seed,3400,9050,transition,stable_post,phase_aligned,transfer_distinct_group_count,,1,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
transition_to_post,grid_2_to_post,0,trained_model_seed,3400,9050,transition,stable_post,phase_aligned,median_pairwise_overlap,,0.1565217391304348,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
transition_to_post,grid_2_to_post,0,trained_model_seed,3400,9050,transition,stable_post,phase_aligned,median_circuit_size,,71.0,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
transition_to_post,grid_2_to_post,0,trained_model_seed,3400,9050,transition,stable_post,phase_aligned,mean_transfer_fidelity,,0.9909547693442566333333333333,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
transition_to_post,grid_2_to_post,0,trained_model_seed,3400,9050,transition,stable_post,phase_aligned,matched_fidelity_structural_diversity,,,False,False,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,excluded_from_metric_summary_undefined,matched_fidelity_requires_two_matched_circuits_per_condition,False,undefined
transition_to_post,grid_2_to_post,0,trained_model_seed,3400,9050,transition,stable_post,phase_aligned,matched_sparsity_fidelity,,,False,False,,undefined,matched_sparsity_pair_unavailable,excluded_from_metric_summary_undefined,matched_sparsity_pair_unavailable,False,undefined
transition_to_post,grid_3_to_post,0,trained_model_seed,7450,9050,stable_post,stable_post,phase_misaligned,structural_family_size,7,6,True,True,-1,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_3_to_post,0,trained_model_seed,7450,9050,stable_post,stable_post,phase_misaligned,transfer_distinct_group_count,1,1,True,True,0,defined,,included_in_metric_summary,,False,zero
transition_to_post,grid_3_to_post,0,trained_model_seed,7450,9050,stable_post,stable_post,phase_misaligned,median_pairwise_overlap,0.17266187050359713,0.1565217391304348,True,True,-0.01614013137316233,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_3_to_post,0,trained_model_seed,7450,9050,stable_post,stable_post,phase_misaligned,median_circuit_size,81,71.0,True,True,-10.0,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_3_to_post,0,trained_model_seed,7450,9050,stable_post,stable_post,phase_misaligned,mean_transfer_fidelity,0.9903017998024958428571428571,0.9909547693442566333333333333,True,True,0.0006529695417607904761904762,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_3_to_post,0,trained_model_seed,7450,9050,stable_post,stable_post,phase_misaligned,matched_fidelity_structural_diversity,0.8321167883211679,0.8434782608695652,True,True,0.0113614725483973,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_3_to_post,0,trained_model_seed,7450,9050,stable_post,stable_post,phase_misaligned,matched_sparsity_fidelity,0.99028898112616495,0.9907588691361892,True,True,0.00046988801002425,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_4_to_post,0,trained_model_seed,8150,9050,stable_post,stable_post,phase_misaligned,structural_family_size,7,6,True,True,-1,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_4_to_post,0,trained_model_seed,8150,9050,stable_post,stable_post,phase_misaligned,transfer_distinct_group_count,1,1,True,True,0,defined,,included_in_metric_summary,,False,zero
transition_to_post,grid_4_to_post,0,trained_model_seed,8150,9050,stable_post,stable_post,phase_misaligned,median_pairwise_overlap,0.15333333333333332,0.1565217391304348,True,True,0.00318840579710148,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_4_to_post,0,trained_model_seed,8150,9050,stable_post,stable_post,phase_misaligned,median_circuit_size,86,71.0,True,True,-15.0,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_4_to_post,0,trained_model_seed,8150,9050,stable_post,stable_post,phase_misaligned,mean_transfer_fidelity,0.990327836631948625,0.9909547693442566333333333333,True,True,0.0006269327123080083333333333,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_4_to_post,0,trained_model_seed,8150,9050,stable_post,stable_post,phase_misaligned,matched_fidelity_structural_diversity,0.8493150684931507,0.8434782608695652,True,True,-0.0058368076235855,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_4_to_post,0,trained_model_seed,8150,9050,stable_post,stable_post,phase_misaligned,matched_sparsity_fidelity,0.9903672957945023,0.9913070718145509,True,True,0.0009397760200486,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_5_to_post,0,trained_model_seed,8500,9050,stable_post,stable_post,phase_misaligned,structural_family_size,7,6,True,True,-1,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_5_to_post,0,trained_model_seed,8500,9050,stable_post,stable_post,phase_misaligned,transfer_distinct_group_count,1,1,True,True,0,defined,,included_in_metric_summary,,False,zero
transition_to_post,grid_5_to_post,0,trained_model_seed,8500,9050,stable_post,stable_post,phase_misaligned,median_pairwise_overlap,0.17424242424242425,0.1565217391304348,True,True,-0.01772068511198945,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_5_to_post,0,trained_model_seed,8500,9050,stable_post,stable_post,phase_misaligned,median_circuit_size,76,71.0,True,True,-5.0,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_5_to_post,0,trained_model_seed,8500,9050,stable_post,stable_post,phase_misaligned,mean_transfer_fidelity,0.9904234732575261928571428571,0.9909547693442566333333333333,True,True,0.0005312960867304404761904762,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_5_to_post,0,trained_model_seed,8500,9050,stable_post,stable_post,phase_misaligned,matched_fidelity_structural_diversity,0.8633093525179856,0.8434782608695652,True,True,-0.0198310916484204,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_5_to_post,0,trained_model_seed,8500,9050,stable_post,stable_post,phase_misaligned,matched_sparsity_fidelity,0.99056308246534575,0.9908763411386953,True,True,0.00031325867334955,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_6_to_post,0,trained_model_seed,8650,9050,stable_post,stable_post,phase_misaligned,structural_family_size,6,6,True,True,0,defined,,included_in_metric_summary,,False,zero
transition_to_post,grid_6_to_post,0,trained_model_seed,8650,9050,stable_post,stable_post,phase_misaligned,transfer_distinct_group_count,1,1,True,True,0,defined,,included_in_metric_summary,,False,zero
transition_to_post,grid_6_to_post,0,trained_model_seed,8650,9050,stable_post,stable_post,phase_misaligned,median_pairwise_overlap,0.14960629921259844,0.1565217391304348,True,True,0.00691543991783636,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_6_to_post,0,trained_model_seed,8650,9050,stable_post,stable_post,phase_misaligned,median_circuit_size,74.0,71.0,True,True,-3.0,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_6_to_post,0,trained_model_seed,8650,9050,stable_post,stable_post,phase_misaligned,mean_transfer_fidelity,0.9905494739158359333333333333,0.9909547693442566333333333333,True,True,0.0004052954284207000000000000,defined,,included_in_metric_summary,,False,positive
transition_to_post,grid_6_to_post,0,trained_model_seed,8650,9050,stable_post,stable_post,phase_misaligned,matched_fidelity_structural_diversity,0.85039370078740156,0.8434782608695652,True,True,-0.00691543991783636,defined,,included_in_metric_summary,,False,negative
transition_to_post,grid_6_to_post,0,trained_model_seed,8650,9050,stable_post,stable_post,phase_misaligned,matched_sparsity_fidelity,0.9905239251311771,0.9909154984728640,True,True,0.0003915733416869,defined,,included_in_metric_summary,,False,positive
adjacent_landmarks,adjacent_grid_1_to_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,not_applicable_adjacent,structural_family_size,0,0,True,True,0,defined,,included_in_metric_summary,,False,zero
adjacent_landmarks,adjacent_grid_1_to_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,not_applicable_adjacent,transfer_distinct_group_count,,,False,False,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
adjacent_landmarks,adjacent_grid_1_to_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,not_applicable_adjacent,median_pairwise_overlap,,,False,False,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
adjacent_landmarks,adjacent_grid_1_to_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,not_applicable_adjacent,median_circuit_size,,,False,False,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
adjacent_landmarks,adjacent_grid_1_to_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,not_applicable_adjacent,mean_transfer_fidelity,,,False,False,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
adjacent_landmarks,adjacent_grid_1_to_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,not_applicable_adjacent,matched_fidelity_structural_diversity,,,False,False,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,excluded_from_metric_summary_undefined,matched_fidelity_requires_two_matched_circuits_per_condition,False,undefined
adjacent_landmarks,adjacent_grid_1_to_2,0,trained_model_seed,200,3400,delayed_pre_generalisation,transition,not_applicable_adjacent,matched_sparsity_fidelity,,,False,False,,undefined,matched_sparsity_pair_unavailable,excluded_from_metric_summary_undefined,matched_sparsity_pair_unavailable,False,undefined
adjacent_landmarks,adjacent_grid_2_to_3,0,trained_model_seed,3400,7450,transition,stable_post,not_applicable_adjacent,structural_family_size,0,7,True,True,7,defined,,included_in_metric_summary,,False,positive
adjacent_landmarks,adjacent_grid_2_to_3,0,trained_model_seed,3400,7450,transition,stable_post,not_applicable_adjacent,transfer_distinct_group_count,,1,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
adjacent_landmarks,adjacent_grid_2_to_3,0,trained_model_seed,3400,7450,transition,stable_post,not_applicable_adjacent,median_pairwise_overlap,,0.17266187050359713,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
adjacent_landmarks,adjacent_grid_2_to_3,0,trained_model_seed,3400,7450,transition,stable_post,not_applicable_adjacent,median_circuit_size,,81,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
adjacent_landmarks,adjacent_grid_2_to_3,0,trained_model_seed,3400,7450,transition,stable_post,not_applicable_adjacent,mean_transfer_fidelity,,0.9903017998024958428571428571,False,True,,undefined,metric_undefined_for_one_or_both_cells,excluded_from_metric_summary_undefined,metric_undefined_for_one_or_both_cells,False,undefined
adjacent_landmarks,adjacent_grid_2_to_3,0,trained_model_seed,3400,7450,transition,stable_post,not_applicable_adjacent,matched_fidelity_structural_diversity,,,False,False,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,excluded_from_metric_summary_undefined,matched_fidelity_requires_two_matched_circuits_per_condition,False,undefined
adjacent_landmarks,adjacent_grid_2_to_3,0,trained_model_seed,3400,7450,transition,stable_post,not_applicable_adjacent,matched_sparsity_fidelity,,,False,False,,undefined,matched_sparsity_pair_unavailable,excluded_from_metric_summary_undefined,matched_sparsity_pair_unavailable,False,undefined
adjacent_landmarks,adjacent_grid_3_to_4,0,trained_model_seed,7450,8150,stable_post,stable_post,not_applicable_adjacent,structural_family_size,7,7,True,True,0,defined,,included_in_metric_summary,,False,zero
adjacent_landmarks,adjacent_grid_3_to_4,0,trained_model_seed,7450,8150,stable_post,stable_post,not_applicable_adjacent,transfer_distinct_group_count,1,1,True,True,0,defined,,included_in_metric_summary,,False,zero
adjacent_landmarks,adjacent_grid_3_to_4,0,trained_model_seed,7450,8150,stable_post,stable_post,not_applicable_adjacent,median_pairwise_overlap,0.17266187050359713,0.15333333333333332,True,True,-0.01932853717026381,defined,,included_in_metric_summary,,False,negative
adjacent_landmarks,adjacent_grid_3_to_4,0,trained_model_seed,7450,8150,stable_post,stable_post,not_applicable_adjacent,median_circuit_size,81,86,True,True,5,defined,,included_in_metric_summary,,False,positive
adjacent_landmarks,adjacent_grid_3_to_4,0,trained_model_seed,7450,8150,stable_post,stable_post,not_applicable_adjacent,mean_transfer_fidelity,0.9903017998024958428571428571,0.990327836631948625,True,True,0.0000260368294527821428571429,defined,,included_in_metric_summary,,False,positive
adjacent_landmarks,adjacent_grid_3_to_4,0,trained_model_seed,7450,8150,stable_post,stable_post,not_applicable_adjacent,matched_fidelity_structural_diversity,0.82733812949640287,0.84666666666666668,True,True,0.01932853717026381,defined,,included_in_metric_summary,,False,positive
adjacent_landmarks,adjacent_grid_3_to_4,0,trained_model_seed,7450,8150,stable_post,stable_post,not_applicable_adjacent,matched_sparsity_fidelity,0.9903672957945023,0.9903672957945023,True,True,0E-16,defined,,included_in_metric_summary,,False,zero
adjacent_landmarks,adjacent_grid_4_to_5,0,trained_model_seed,8150,8500,stable_post,stable_post,not_applicable_adjacent,structural_family_size,7,7,True,True,0,defined,,included_in_metric_summary,,False,zero
adjacent_landmarks,adjacent_grid_4_to_5,0,trained_model_seed,8150,8500,stable_post,stable_post,not_applicable_adjacent,transfer_distinct_group_count,1,1,True,True,0,defined,,included_in_metric_summary,,False,zero
adjacent_landmarks,adjacent_grid_4_to_5,0,trained_model_seed,8150,8500,stable_post,stable_post,not_applicable_adjacent,median_pairwise_overlap,0.15333333333333332,0.17424242424242425,True,True,0.02090909090909093,defined,,included_in_metric_summary,,False,positive
adjacent_landmarks,adjacent_grid_4_to_5,0,trained_model_seed,8150,8500,stable_post,stable_post,not_applicable_adjacent,median_circuit_size,86,76,True,True,-10,defined,,included_in_metric_summary,,False,negative
adjacent_landmarks,adjacent_grid_4_to_5,0,trained_model_seed,8150,8500,stable_post,stable_post,not_applicable_adjacent,mean_transfer_fidelity,0.990327836631948625,0.9904234732575261928571428571,True,True,0.0000956366255775678571428571,defined,,included_in_metric_summary,,False,positive
adjacent_landmarks,adjacent_grid_4_to_5,0,trained_model_seed,8150,8500,stable_post,stable_post,not_applicable_adjacent,matched_fidelity_structural_diversity,0.84666666666666668,0.82575757575757575,True,True,-0.02090909090909093,defined,,included_in_metric_summary,,False,negative
adjacent_landmarks,adjacent_grid_4_to_5,0,trained_model_seed,8150,8500,stable_post,stable_post,not_applicable_adjacent,matched_sparsity_fidelity,0.9903672957945023,0.990523925131177,True,True,0.0001566293366747,defined,,included_in_metric_summary,,False,positive
adjacent_landmarks,adjacent_grid_5_to_6,0,trained_model_seed,8500,8650,stable_post,stable_post,not_applicable_adjacent,structural_family_size,7,6,True,True,-1,defined,,included_in_metric_summary,,False,negative
adjacent_landmarks,adjacent_grid_5_to_6,0,trained_model_seed,8500,8650,stable_post,stable_post,not_applicable_adjacent,transfer_distinct_group_count,1,1,True,True,0,defined,,included_in_metric_summary,,False,zero
adjacent_landmarks,adjacent_grid_5_to_6,0,trained_model_seed,8500,8650,stable_post,stable_post,not_applicable_adjacent,median_pairwise_overlap,0.17424242424242425,0.14960629921259844,True,True,-0.02463612502982581,defined,,included_in_metric_summary,,False,negative
adjacent_landmarks,adjacent_grid_5_to_6,0,trained_model_seed,8500,8650,stable_post,stable_post,not_applicable_adjacent,median_circuit_size,76,74.0,True,True,-2.0,defined,,included_in_metric_summary,,False,negative
adjacent_landmarks,adjacent_grid_5_to_6,0,trained_model_seed,8500,8650,stable_post,stable_post,not_applicable_adjacent,mean_transfer_fidelity,0.9904234732575261928571428571,0.9905494739158359333333333333,True,True,0.0001260006583097404761904762,defined,,included_in_metric_summary,,False,positive
