record_type,model_seed,checkpoint_step,cell_id,circuit_id,test_subset,transfer_fidelity,transfer_distinct_group_count,display_unit,independent_inference_unit
transfer_group_trajectory,3,7450,s3-step7450-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,3,8150,s3-step8150-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,3,8500,s3-step8500-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,3,8650,s3-step8650-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,3,9050,s3-step9050-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,4,200,s4-step200-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,4,3400,s4-step3400-f99of100-d1of2,,,,,trained_model_seed,trained_model_seed
transfer_group_trajectory,4,7450,s4-step7450-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,4,8150,s4-step8150-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,4,8500,s4-step8500-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,4,8650,s4-step8650-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
transfer_group_trajectory,4,9050,s4-step9050-f99of100-d1of2,,,,1,trained_model_seed,trained_model_seed
