record_type,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,family_size,c1_qualified,failed_requested_member_count,terminal_requested_member_index,stopping_reason,failure_category,budget_exhausted,per_cell_evaluations_used,unused_budget,ranking_passes,restart_count,invalid_output_count,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
cell,37,s0-step7450-f4of5-d1of4,4,5,0.800,1,4,0.25,3,True,1,4,requested_member_4_budget_exhaustion,budget_exhaustion,True,32668,17332,2034,5,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,37
cell,38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3114,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
cell,39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3114,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
cell,40,s0-step7450-f17of20-d1of4,17,20,0.850,1,4,0.25,3,True,1,4,requested_member_4_budget_exhaustion,budget_exhaustion,True,32533,17467,2025,5,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,40
cell,41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,41
cell,42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3112,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,42
cell,43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,4,True,1,5,requested_member_5_budget_exhaustion,budget_exhaustion,True,39634,10366,2465,6,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,43
cell,44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3110,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,44
cell,45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3110,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,45
cell,46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,3,True,1,4,requested_member_4_budget_exhaustion,budget_exhaustion,True,31949,18051,1985,5,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,46
cell,47,s0-step7450-f19of20-d1of2,19,20,0.950,1,2,0.50,6,True,1,7,requested_member_7_budget_exhaustion,budget_exhaustion,True,50000,0,3107,7,0,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,47
