model_seed,training_step,train_accuracy,test_accuracy,analysed_checkpoint,aggregation_unit
0,7200,1.0,0.9995525479316711,False,trained_model_seed
0,7250,1.0,0.9995525479316711,False,trained_model_seed
0,7300,1.0,0.9995525479316711,False,trained_model_seed
0,7350,1.0,0.9996643662452698,False,trained_model_seed
0,7400,1.0,0.9996643662452698,False,trained_model_seed
0,7450,1.0,0.9998881220817566,True,trained_model_seed
0,7500,1.0,0.9998881220817566,False,trained_model_seed
0,7550,1.0,0.9998881220817566,False,trained_model_seed
0,7600,1.0,1.0,False,trained_model_seed
0,7650,1.0,1.0,False,trained_model_seed
0,7700,1.0,1.0,False,trained_model_seed
0,7750,1.0,1.0,False,trained_model_seed
0,7800,1.0,1.0,False,trained_model_seed
0,7850,1.0,1.0,False,trained_model_seed
0,7900,1.0,1.0,False,trained_model_seed
0,7950,1.0,1.0,False,trained_model_seed
0,8000,1.0,1.0,False,trained_model_seed
0,8050,1.0,1.0,False,trained_model_seed
0,8100,1.0,0.9977626204490662,False,trained_model_seed
0,8150,1.0,1.0,True,trained_model_seed
0,8200,1.0,1.0,False,trained_model_seed
0,8250,1.0,1.0,False,trained_model_seed
0,8300,1.0,1.0,False,trained_model_seed
0,8350,1.0,1.0,False,trained_model_seed
0,8400,1.0,1.0,False,trained_model_seed
0,8450,1.0,1.0,False,trained_model_seed
0,8500,1.0,1.0,True,trained_model_seed
0,8550,1.0,1.0,False,trained_model_seed
0,8600,1.0,1.0,False,trained_model_seed
0,8650,1.0,0.9997762441635132,True,trained_model_seed
0,8700,1.0,0.9997762441635132,False,trained_model_seed
0,8750,1.0,0.9997762441635132,False,trained_model_seed
0,8800,1.0,0.9997762441635132,False,trained_model_seed
0,8850,1.0,0.9997762441635132,False,trained_model_seed
0,8900,1.0,0.9997762441635132,False,trained_model_seed
0,8950,1.0,0.9997762441635132,False,trained_model_seed
0,9000,1.0,0.9997762441635132,False,trained_model_seed
0,9050,1.0,0.9997762441635132,True,trained_model_seed
0,9100,1.0,0.9997762441635132,False,trained_model_seed
0,9150,1.0,0.9997762441635132,False,trained_model_seed
0,9200,1.0,0.9998881220817566,False,trained_model_seed
0,9250,1.0,1.0,False,trained_model_seed
0,9300,1.0,0.9997762441635132,False,trained_model_seed
0,9350,1.0,0.9993287920951843,False,trained_model_seed
0,9400,1.0,1.0,False,trained_model_seed
0,9450,1.0,1.0,False,trained_model_seed
0,9500,1.0,1.0,False,trained_model_seed
0,9550,1.0,1.0,False,trained_model_seed
0,9600,1.0,0.9997762441635132,False,trained_model_seed
0,9650,1.0,0.9997762441635132,False,trained_model_seed
0,9700,1.0,0.9997762441635132,False,trained_model_seed
0,9750,1.0,0.9997762441635132,False,trained_model_seed
0,9800,1.0,0.9997762441635132,False,trained_model_seed
0,9850,1.0,0.9997762441635132,False,trained_model_seed
0,9900,1.0,0.9997762441635132,False,trained_model_seed
0,9950,1.0,0.9997762441635132,False,trained_model_seed
0,10000,1.0,0.9997762441635132,False,trained_model_seed
0,10050,1.0,0.9997762441635132,False,trained_model_seed
0,10100,1.0,1.0,False,trained_model_seed
0,10150,1.0,1.0,False,trained_model_seed
0,10200,1.0,1.0,False,trained_model_seed
0,10250,1.0,1.0,False,trained_model_seed
0,10300,1.0,1.0,False,trained_model_seed
0,10350,1.0,1.0,False,trained_model_seed
0,10400,1.0,1.0,False,trained_model_seed
0,10450,1.0,1.0,False,trained_model_seed
0,10500,1.0,1.0,False,trained_model_seed
0,10550,1.0,1.0,False,trained_model_seed
0,10600,1.0,0.9995525479316711,False,trained_model_seed
0,10650,1.0,1.0,False,trained_model_seed
0,10700,1.0,1.0,False,trained_model_seed
0,10750,1.0,1.0,False,trained_model_seed
0,10800,1.0,1.0,False,trained_model_seed
0,10850,1.0,1.0,False,trained_model_seed
0,10900,1.0,1.0,False,trained_model_seed
0,10950,1.0,1.0,False,trained_model_seed
0,11000,1.0,1.0,False,trained_model_seed
0,11050,1.0,1.0,False,trained_model_seed
0,11100,1.0,1.0,False,trained_model_seed
0,11150,1.0,1.0,False,trained_model_seed
0,11200,1.0,1.0,False,trained_model_seed
0,11250,1.0,1.0,False,trained_model_seed
0,11300,1.0,1.0,False,trained_model_seed
0,11350,1.0,1.0,False,trained_model_seed
0,11400,1.0,1.0,False,trained_model_seed
0,11450,1.0,1.0,False,trained_model_seed
0,11500,1.0,1.0,False,trained_model_seed
0,11550,1.0,1.0,False,trained_model_seed
0,11600,1.0,1.0,False,trained_model_seed
0,11650,1.0,1.0,False,trained_model_seed
0,11700,1.0,1.0,False,trained_model_seed
0,11750,1.0,1.0,False,trained_model_seed
0,11800,1.0,1.0,False,trained_model_seed
0,11850,0.9984334111213684,0.9938471913337708,False,trained_model_seed
0,11900,1.0,0.9997762441635132,False,trained_model_seed
0,11950,1.0,0.9998881220817566,False,trained_model_seed
0,12000,1.0,1.0,False,trained_model_seed
0,12050,1.0,1.0,False,trained_model_seed
0,12100,1.0,1.0,False,trained_model_seed
0,12150,1.0,0.9998881220817566,False,trained_model_seed
0,12200,1.0,0.9998881220817566,False,trained_model_seed
0,12250,1.0,0.9998881220817566,False,trained_model_seed
0,12300,1.0,0.9998881220817566,False,trained_model_seed
