model_seed,checkpoint_index,checkpoint_step,checkpoint_path,checkpoint_sha256,model_state_sha256,optimizer_state_sha256,train_accuracy,test_accuracy,train_cross_entropy,test_cross_entropy,reload_verified
3,3,7450,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00007450.pt,6d3ef5133b1ab78d2ca208593bb95c2b856f3db4df90289f71a445244a50b69a,e4508637d0925e7d021f070c2651c7dfc9f9ace63ed2c5aa911d77f87846c433,d116cc858c33635efbf92bf73b21ef32978e4a46bca0eec6eb87a1369afcdf57,1.0,0.14073163270950317,2.713450521696359e-05,12.200231552124023,True
3,4,8150,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00008150.pt,33c5b0dbc4b8b6ccc06853df0d63de8903b23051b7502a045536ac1d0d02dd67,aee06afe51f9d023405b15b70949729a9407a217cc770d0a0395b3031dbd9ed0,31c55a89f2af9f74772bcf2946c6eeb8b7ad4dade0066f46235dc9b80894aa72,1.0,0.24063093960285187,0.007198643404990435,4.885975360870361,True
3,5,8500,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00008500.pt,341c249c801ae1fc84769d5dfb84fe51d240acc5b75fe955fc3e6f7b1f29b503,603e58f815b5adf47f58d759468457a52985dd6343386b8b076dce28e7304b90,d5223305a2e93d5b312e86f74acc082223030355b44558cc39f727240704c0bb,1.0,0.3808032274246216,0.0005364262033253908,3.83673095703125,True
3,6,8650,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00008650.pt,1c2c90fdb9a013a3218e48c44ac20164cd08aaa8bf14322521a8244c521bcdd9,4efb0a028e985718af062b8f0609c8e03b3cdc3fcd7fb7176c99221fc115ed23,9bdb320e8fece327322e66a63967de78dc4ad1951c56b6bcb7d19856b08ffc97,1.0,0.47757020592689514,0.00010909411503234878,3.166004180908203,True
3,7,9050,checkpoints/stage18-main-training-s3-4c0c7c63ce2f/step_00009050.pt,e5bb2a446f107846ddf4e547fda2358efec38d758082b81b5fb1ff0ca4a01fb3,48c1aa5f281e52f21177697459a98e7953bfa9d8a3f21fa188b8f5573ef8381b,3eb5679ad427bd8e7cbb5e6218ca72ef132d8dc9c7701e723c947cfcf755ecdf,1.0,0.7726815342903137,1.822186845856777e-06,1.1427161693572998,True
4,1,200,checkpoints/stage18-main-training-s4-c2881c226349/step_00000200.pt,28f636e1787e6319e2de49fbb78d89f4df7898a6b77e8e3e7e8693dcf58510bf,42da470a63fad5ee1655dca3b448d64dbff6e5450eb4320145ce61fab1508985,6527a135dc5ad65fd5f5d550d5bfad0820d825f94e0c264e44e854f892e8c9b1,1.0,0.014207405969500542,0.030673058703541756,18.51702117919922,True
4,2,3400,checkpoints/stage18-main-training-s4-c2881c226349/step_00003400.pt,23beb7e93b0797ab28eb6b2f63c2788d272c59e2c79bdebd88746f7746fdb851,ca0fd915d8f229ad97e6889260e3c4ba70aef9d5dbeb93ac598baef7d28571c5,61ff9060d991e9542224b199206e61f396f06f45af78a3021839476ec7742581,1.0,0.08915986120700836,0.00013266410678625107,14.133172035217285,True
4,3,7450,checkpoints/stage18-main-training-s4-c2881c226349/step_00007450.pt,88849f3a2c1edd34dfd276fd89eb9637038466f463c96e54fd263e35fc3ad42d,4c393aa4e23c57ef6f5488b1d0f8a3f69a352971313fe0b889b072b40fb6b8db,37db51980affbb0b908b224b65500e70f00e5803772cbfd6d1a02335f8b2d1ae,1.0,1.0,2.1574337552010547e-06,2.0878547729807906e-05,True
4,4,8150,checkpoints/stage18-main-training-s4-c2881c226349/step_00008150.pt,7e72b0315db089e5d1a763f6b1d462e49c5c4dcc1769c36574cc8ee3a8e6a82d,ff6e9c8d89be5703ee40821fb397be21b1e75bcb95ee9e2fb6a6d226786cbb78,41883665051a0732a5b9734a95eeb393690f50a6b34bfc30977955f23eb86584,1.0,1.0,0.0004153619520366192,0.000736468646209687,True
4,5,8500,checkpoints/stage18-main-training-s4-c2881c226349/step_00008500.pt,243a723e9496e94eac83a3bd8e1202acb39561dac7621e39cdf3cefa415afad4,eaef5389a12c40de727abb62baad47928a07c07282832debe57e6159a23a3ffb,d6a2bf726ece19d08c9d126af46581ff74e0a400d6ce0fb1965d16d115677848,1.0,1.0,1.0584379197098315e-05,3.037495116586797e-05,True
4,6,8650,checkpoints/stage18-main-training-s4-c2881c226349/step_00008650.pt,9bbb06ccadbb4828776a79ecf0760f718f2da58ce4701f205cb895b69078f720,59c78aad39b7ebf141e9759eb610244741c4eb8b56f859ff17ebee405a89d6d3,890584dd96373b935da55e66f30cc8a845706502675f9bd33adc7ad07f004f56,1.0,1.0,2.352307092223782e-06,8.325523594976403e-06,True
4,7,9050,checkpoints/stage18-main-training-s4-c2881c226349/step_00009050.pt,5e21615bae171fdb508b16d9a83d58dc6a0e6910702b136d6e2d7df3576412f2,ff5fb92010db181b3d46f680de8c35e5003887bbc57b86b58b006c2fd82e7d5b,63646a6bba8b1cca23e81db7d76f4cf6108fe04397a2c2ef14d8edf62857b752,1.0,1.0,1.637804700749257e-07,8.989823641059047e-07,True
