record_type,model_seed,checkpoint_step,cell_id,circuit_i,circuit_j,jaccard_overlap,displayed_jaccard_cutoff,family_size,display_unit,independent_inference_unit
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C3,C7,0.26838235294117646,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C4,C5,0.1476510067114094,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C4,C6,0.17123287671232876,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C4,C7,0.23048327137546468,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C5,C6,0.18032786885245902,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C5,C7,0.1952054794520548,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,1,9050,s1-step9050-f99of100-d1of2,C6,C7,0.15562913907284767,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,C2,0.12179487179487179,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,C3,0.1513157894736842,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,C4,0.14935064935064934,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,C5,0.2097902097902098,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,C6,0.22758620689655173,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C1,C7,0.2898550724637681,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C2,C3,0.10666666666666667,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C2,C4,0.12751677852348994,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C2,C5,0.18840579710144928,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C2,C6,0.16551724137931034,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C2,C7,0.2158273381294964,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C3,C4,0.1506849315068493,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C3,C5,0.17142857142857143,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C3,C6,0.14189189189189189,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C3,C7,0.19014084507042253,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C4,C5,0.136986301369863,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C4,C6,0.1875,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C4,C7,0.16326530612244897,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C5,C6,0.15172413793103448,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C5,C7,0.15172413793103448,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,2,9050,s2-step9050-f99of100-d1of2,C6,C7,0.16216216216216217,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,C2,0.08450704225352113,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,C3,0.15789473684210525,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,C4,0.16666666666666666,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,C5,0.17054263565891473,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,C6,0.2,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C1,C7,0.23387096774193547,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C2,C3,0.08843537414965986,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C2,C4,0.1347517730496454,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C2,C5,0.12949640287769784,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C2,C6,0.14893617021276595,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C2,C7,0.09655172413793103,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C3,C4,0.1111111111111111,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C3,C5,0.12142857142857143,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C3,C6,0.13286713286713286,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C3,C7,0.17777777777777778,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C4,C5,0.1056338028169014,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C4,C6,0.087248322147651,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C4,C7,0.11188811188811189,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C5,C6,0.11188811188811189,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C5,C7,0.10638297872340426,0.50,7,circuit_pair_within_trained_model,trained_model_seed
overlap_matrix,4,9050,s4-step9050-f99of100-d1of2,C6,C7,0.13380281690140844,0.50,7,circuit_pair_within_trained_model,trained_model_seed
distinctness_sensitivity,0,200,s0-step200-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,200,s0-step200-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,200,s0-step200-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,3400,s0-step3400-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,3400,s0-step3400-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,3400,s0-step3400-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,7450,s0-step7450-f99of100-d1of4,,,,0.25,4,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,7450,s0-step7450-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,7450,s0-step7450-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,8150,s0-step8150-f99of100-d1of4,,,,0.25,5,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,8150,s0-step8150-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,8150,s0-step8150-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,8500,s0-step8500-f99of100-d1of4,,,,0.25,5,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,8500,s0-step8500-f99of100-d1of2,,,,0.50,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,8500,s0-step8500-f99of100-d3of4,,,,0.75,7,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,8650,s0-step8650-f99of100-d1of4,,,,0.25,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,8650,s0-step8650-f99of100-d1of2,,,,0.50,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,8650,s0-step8650-f99of100-d3of4,,,,0.75,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,9050,s0-step9050-f99of100-d1of4,,,,0.25,5,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,9050,s0-step9050-f99of100-d1of2,,,,0.50,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,0,9050,s0-step9050-f99of100-d3of4,,,,0.75,6,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,200,s1-step200-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,200,s1-step200-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,200,s1-step200-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,3400,s1-step3400-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,3400,s1-step3400-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,3400,s1-step3400-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,7450,s1-step7450-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,7450,s1-step7450-f99of100-d1of2,,,,0.50,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,7450,s1-step7450-f99of100-d3of4,,,,0.75,0,trained_model_seed,trained_model_seed
distinctness_sensitivity,1,8150,s1-step8150-f99of100-d1of4,,,,0.25,0,trained_model_seed,trained_model_seed
