stage18_run_id,global_cell_index,cell_id,model_seed,checkpoint_index,checkpoint_step,displayed_fidelity,displayed_jaccard_cutoff,primary_cell,status,stopping_reason,family_size,eligible_for_matched_comparison,comparison_type,source_condition,target_condition,missing_side,exact_reason,source_family_empty,target_family_empty,no_valid_match_exists,metric_undefined,excluded_from_matched_effect,remains_in_primary_family_size_analysis,outcome_type,unavailable_control,undefined_metrics,handling
stage18-scaling-24a9adb84176,23,s0-step3400-f17of20-d1of2,0,2,3400,0.850,0.50,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f17of20-d1of2,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,24,s0-step3400-f17of20-d3of4,0,2,3400,0.850,0.75,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f17of20-d3of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,25,s0-step3400-f9of10-d1of4,0,2,3400,0.900,0.25,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f9of10-d1of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,26,s0-step3400-f9of10-d1of2,0,2,3400,0.900,0.50,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f9of10-d1of2,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,27,s0-step3400-f9of10-d3of4,0,2,3400,0.900,0.75,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f9of10-d3of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,28,s0-step3400-f19of20-d1of4,0,2,3400,0.950,0.25,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f19of20-d1of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,29,s0-step3400-f19of20-d1of2,0,2,3400,0.950,0.50,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f19of20-d1of2,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,30,s0-step3400-f19of20-d3of4,0,2,3400,0.950,0.75,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f19of20-d3of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,31,s0-step3400-f39of40-d1of4,0,2,3400,0.975,0.25,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f39of40-d1of4,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
stage18-scaling-24a9adb84176,32,s0-step3400-f39of40-d1of2,0,2,3400,0.975,0.50,False,sparsity_failure,requested_member_1_sparsity_failure,0,False,not_applicable_cell_outcome,s0-step3400-f39of40-d1of2,,executed_cell_family,requested_member_1_sparsity_failure,True,,,True,True,True,executed_empty_family,False,median_circuit_size;median_pairwise_overlap;transfer_group_count;matched_fidelity;matched_sparsity,reported_as_empty_not_imputed
