stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C2,C4,2,4,26,127,26,127,0.2047244094488189,0.7952755905511811,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C2,C5,2,5,24,130,12,65,0.18461538461538463,0.8153846153846154,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C2,C6,2,6,32,118,16,59,0.2711864406779661,0.728813559322034,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C3,C4,3,4,26,112,13,56,0.23214285714285715,0.7678571428571428,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C3,C5,3,5,25,114,25,114,0.21929824561403508,0.7807017543859649,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C3,C6,3,6,27,108,1,4,0.25,0.75,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C4,C5,4,5,21,122,21,122,0.1721311475409836,0.8278688524590164,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C4,C6,4,6,30,109,30,109,0.27522935779816515,0.7247706422018348,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,17,20,0.850,1,2,0.50,fresh_execution,,,C5,C6,5,6,22,118,11,59,0.1864406779661017,0.8135593220338984,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C2,1,2,20,139,20,139,0.14388489208633093,0.8561151079136691,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C3,1,3,30,114,5,19,0.2631578947368421,0.736842105263158,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C4,1,4,32,116,8,29,0.27586206896551724,0.7241379310344828,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C5,1,5,35,114,35,114,0.30701754385964913,0.6929824561403508,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C1,C6,1,6,28,117,28,117,0.23931623931623933,0.7606837606837606,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,C3,2,3,21,128,21,128,0.1640625,0.8359375,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,C4,2,4,26,127,26,127,0.2047244094488189,0.7952755905511811,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,C5,2,5,24,130,12,65,0.18461538461538463,0.8153846153846154,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,C6,2,6,32,118,16,59,0.2711864406779661,0.728813559322034,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C3,C4,3,4,26,112,13,56,0.23214285714285715,0.7678571428571428,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C3,C5,3,5,25,114,25,114,0.21929824561403508,0.7807017543859649,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C3,C6,3,6,27,108,1,4,0.25,0.75,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C4,C5,4,5,21,122,21,122,0.1721311475409836,0.8278688524590164,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C4,C6,4,6,30,109,30,109,0.27522935779816515,0.7247706422018348,True
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C5,C6,5,6,22,118,11,59,0.1864406779661017,0.8135593220338984,True
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C1,C2,1,2,22,146,11,73,0.1506849315068493,0.8493150684931507,True
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C1,C3,1,3,30,161,30,161,0.18633540372670807,0.8136645962732919,True
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C2,C3,2,3,18,177,6,59,0.1016949152542373,0.8983050847457628,True
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C2,1,2,22,146,11,73,0.1506849315068493,0.8493150684931507,True
