cell_id,cell_index,circuit_id,distinctness_denominator,distinctness_numerator,fidelity_denominator,fidelity_numerator,q1_accuracy,q1_cross_entropy,q1_fidelity,q1_jensen_shannon_divergence,q1_kl_divergence,q2_accuracy,q2_cross_entropy,q2_fidelity,q2_jensen_shannon_divergence,q2_kl_divergence,q3_accuracy,q3_cross_entropy,q3_fidelity,q3_jensen_shannon_divergence,q3_kl_divergence,q4_accuracy,q4_cross_entropy,q4_fidelity,q4_jensen_shannon_divergence,q4_kl_divergence,source_run_id,source_stage,transfer_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s0-step8500-f9of10-d1of2,80,C3,2,1,10,9,0.9208987380732533,1.6775380348968447,0.9208987380732533,0.41958073177367733,1.6734712428039829,0.9141604010025063,1.6777494501854693,0.9141604010025063,0.4215403403690024,1.6760285574111873,0.9135338345864662,1.6776863501540251,0.9135338345864662,0.4215258139052561,1.675959583857379,0.873405612244898,1.7323500027651995,0.873405612244898,0.42779510805848986,1.7294024754581707,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,80
s0-step8500-f9of10-d1of2,80,C4,2,1,10,9,0.9082794706063404,1.6660880998680503,0.9082794706063404,0.4188790666406688,1.662127058279995,0.9110275689223057,1.641396571534282,0.9110275689223057,0.4152039390892948,1.6396801604569555,0.9104010025062657,1.6410438277779664,0.9104010025062657,0.4151435089472653,1.6393222795393234,0.8909438775510204,1.672937927919687,0.8909438775510204,0.41782943209352885,1.6699901555607817,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,80
s0-step8500-f9of10-d1of2,80,C5,2,1,10,9,0.9181286549707602,1.5905627291884632,0.9181286549707602,0.4040453231765348,1.5867760874246148,0.9125939849624061,1.5668799745707882,0.9125939849624061,0.40103560656701265,1.5651730476484114,0.9122807017543859,1.5663490337564756,0.9122807017543859,0.4009530802460429,1.5646370841344273,0.8941326530612245,1.6054556145456296,0.8941326530612245,0.40589142882274654,1.6025407862878043,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,80
s0-step8500-f9of10-d1of2,80,C6,2,1,10,9,0.9150507848568791,1.6785450162117794,0.9150507848568791,0.4204152254149818,1.6745866161469278,0.9069548872180451,1.6825705556838508,0.9069548872180451,0.422598077390427,1.680853488642657,0.9060150375939849,1.6826039605580252,0.9060150375939849,0.42259258443587705,1.6808815099681753,0.8743622448979592,1.7376470711433842,0.8743622448979592,0.42752555405188886,1.7346895768506718,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,80
s0-step8500-f9of10-d3of4,81,C1,4,3,10,9,0.9079716835949523,1.5094976570650995,0.9079716835949523,0.38664431590443576,1.5056029846390124,0.9176065162907269,1.47925161781317,0.9176065162907269,0.38300629072871645,1.4775225127251226,0.918546365914787,1.4790381706672204,0.918546365914787,0.3829500795666474,1.4773038770480638,0.8864795918367347,1.5502371032845836,0.8864795918367347,0.39169753316614053,1.5473131653947794,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,81
s0-step8500-f9of10-d3of4,81,C2,4,3,10,9,0.9008925823330255,1.745300179969424,0.9008925823330255,0.4313677220243276,1.7413303260712962,0.9116541353383458,1.7122377598597516,0.9116541353383458,0.4274817485371628,1.7105030910879897,0.9122807017543859,1.7118475945353657,0.9122807017543859,0.42742399514925883,1.710107762147124,0.9011479591836735,1.741622801166864,0.9011479591836735,0.4302611531718273,1.7386604545599953,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,81
s0-step8500-f9of10-d3of4,81,C3,4,3,10,9,0.9208987380732533,1.6775380348968447,0.9208987380732533,0.41958073177367733,1.6734712428039829,0.9141604010025063,1.6777494501854693,0.9141604010025063,0.4215403403690024,1.6760285574111873,0.9135338345864662,1.6776863501540251,0.9135338345864662,0.4215258139052561,1.675959583857379,0.873405612244898,1.7323500027651995,0.873405612244898,0.42779510805848986,1.7294024754581707,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,81
s0-step8500-f9of10-d3of4,81,C4,4,3,10,9,0.9082794706063404,1.6660880998680503,0.9082794706063404,0.4188790666406688,1.662127058279995,0.9110275689223057,1.641396571534282,0.9110275689223057,0.4152039390892948,1.6396801604569555,0.9104010025062657,1.6410438277779664,0.9104010025062657,0.4151435089472653,1.6393222795393234,0.8909438775510204,1.672937927919687,0.8909438775510204,0.41782943209352885,1.6699901555607817,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,81
s0-step8500-f9of10-d3of4,81,C5,4,3,10,9,0.9181286549707602,1.5905627291884632,0.9181286549707602,0.4040453231765348,1.5867760874246148,0.9125939849624061,1.5668799745707882,0.9125939849624061,0.40103560656701265,1.5651730476484114,0.9122807017543859,1.5663490337564756,0.9122807017543859,0.4009530802460429,1.5646370841344273,0.8941326530612245,1.6054556145456296,0.8941326530612245,0.40589142882274654,1.6025407862878043,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,81
s0-step8500-f9of10-d3of4,81,C6,4,3,10,9,0.9150507848568791,1.6785450162117794,0.9150507848568791,0.4204152254149818,1.6745866161469278,0.9069548872180451,1.6825705556838508,0.9069548872180451,0.422598077390427,1.680853488642657,0.9060150375939849,1.6826039605580252,0.9060150375939849,0.42259258443587705,1.6808815099681753,0.8743622448979592,1.7376470711433842,0.8743622448979592,0.42752555405188886,1.7346895768506718,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,81
s0-step8500-f19of20-d1of4,82,C1,4,1,20,19,0.9581409664512157,1.3524902029912924,0.9581409664512157,0.3585873368437261,1.3486492214314514,0.9636591478696742,1.3076547520716013,0.9636591478696742,0.3520736175596266,1.3059508328216343,0.9633458646616542,1.3076692059972232,0.9633458646616542,0.3520693542438099,1.3059597419980997,0.9400510204081632,1.3495185480462577,0.9400510204081632,0.3563968780746313,1.3466387865589742,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,82
s0-step8500-f19of20-d1of4,82,C2,4,1,20,19,0.9596799015081564,1.3607867154920237,0.9596799015081564,0.3618446991189273,1.3569580569574378,0.9583333333333334,1.3608948728279735,0.9583333333333334,0.3626231139824541,1.3592064558927501,0.9592731829573935,1.360837815483486,0.9592731829573935,0.36259710180449456,1.3591448003682949,0.9378188775510204,1.4294667614395826,0.9378188775510204,0.3727535470869934,1.4265548958067724,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,82
s0-step8500-f19of20-d1of4,82,C3,4,1,20,19,0.9424438288704217,1.4356247555107915,0.9424438288704217,0.376230380791688,1.4317248968889655,0.9555137844611529,1.4264475040646611,0.9555137844611529,0.3759315092172614,1.424745751129356,0.9558270676691729,1.4265636204786243,0.9558270676691729,0.37594201593872223,1.42485630430776,0.9467474489795918,1.4748242447623148,0.9467474489795918,0.3818234459049192,1.4719168608081623,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,82
s0-step8500-f19of20-d1of4,82,C4,4,1,20,19,0.9630655586334257,1.354178697327149,0.9630655586334257,0.36020344938818,1.350153874875344,0.9530075187969925,1.3793194665757935,0.9530075187969925,0.3670189042825411,1.3776263588325197,0.9520676691729323,1.3791993999652994,0.9520676691729323,0.3669900634001595,1.3775016034026641,0.9365433673469388,1.4255286375255496,0.9365433673469388,0.3730405100730571,1.422649685013089,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,82
s0-step8500-f19of20-d1of4,82,C5,4,1,20,19,0.9495229301323485,1.3774706610315357,0.9495229301323485,0.3644890402340227,1.3736680185255472,0.9520676691729323,1.3547359667765093,0.9520676691729323,0.36151780023876773,1.3530485172683657,0.9520676691729323,1.3544791028706502,0.9520676691729323,0.3614651933592513,1.3527876931034906,0.9480229591836735,1.3658841655670417,0.9480229591836735,0.36178550266123816,1.3630502962350504,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,82
s0-step8500-f19of20-d1of4,82,C6,4,1,20,19,0.9541397353031702,1.4442119752399443,0.9541397353031702,0.37737780347897587,1.4404037934279361,0.9514411027568922,1.4293826101837974,0.9514411027568922,0.3761380465822598,1.4276993681716366,0.9492481203007519,1.4294427608170157,0.9492481203007519,0.3761399082050549,1.4277544190785043,0.9483418367346939,1.437105177260213,0.9483418367346939,0.3756474207312211,1.4342155221811668,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,82
s0-step8500-f19of20-d1of2,83,C1,2,1,20,19,0.9581409664512157,1.3524902029912924,0.9581409664512157,0.3585873368437261,1.3486492214314514,0.9636591478696742,1.3076547520716013,0.9636591478696742,0.3520736175596266,1.3059508328216343,0.9633458646616542,1.3076692059972232,0.9633458646616542,0.3520693542438099,1.3059597419980997,0.9400510204081632,1.3495185480462577,0.9400510204081632,0.3563968780746313,1.3466387865589742,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,83
s0-step8500-f19of20-d1of2,83,C2,2,1,20,19,0.9596799015081564,1.3607867154920237,0.9596799015081564,0.3618446991189273,1.3569580569574378,0.9583333333333334,1.3608948728279735,0.9583333333333334,0.3626231139824541,1.3592064558927501,0.9592731829573935,1.360837815483486,0.9592731829573935,0.36259710180449456,1.3591448003682949,0.9378188775510204,1.4294667614395826,0.9378188775510204,0.3727535470869934,1.4265548958067724,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,83
s0-step8500-f19of20-d1of2,83,C3,2,1,20,19,0.9424438288704217,1.4356247555107915,0.9424438288704217,0.376230380791688,1.4317248968889655,0.9555137844611529,1.4264475040646611,0.9555137844611529,0.3759315092172614,1.424745751129356,0.9558270676691729,1.4265636204786243,0.9558270676691729,0.37594201593872223,1.42485630430776,0.9467474489795918,1.4748242447623148,0.9467474489795918,0.3818234459049192,1.4719168608081623,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,83
s0-step8500-f19of20-d1of2,83,C4,2,1,20,19,0.9630655586334257,1.354178697327149,0.9630655586334257,0.36020344938818,1.350153874875344,0.9530075187969925,1.3793194665757935,0.9530075187969925,0.3670189042825411,1.3776263588325197,0.9520676691729323,1.3791993999652994,0.9520676691729323,0.3669900634001595,1.3775016034026641,0.9365433673469388,1.4255286375255496,0.9365433673469388,0.3730405100730571,1.422649685013089,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,83
s0-step8500-f19of20-d1of2,83,C5,2,1,20,19,0.9495229301323485,1.3774706610315357,0.9495229301323485,0.3644890402340227,1.3736680185255472,0.9520676691729323,1.3547359667765093,0.9520676691729323,0.36151780023876773,1.3530485172683657,0.9520676691729323,1.3544791028706502,0.9520676691729323,0.3614651933592513,1.3527876931034906,0.9480229591836735,1.3658841655670417,0.9480229591836735,0.36178550266123816,1.3630502962350504,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,83
s0-step8500-f19of20-d1of2,83,C6,2,1,20,19,0.9541397353031702,1.4442119752399443,0.9541397353031702,0.37737780347897587,1.4404037934279361,0.9514411027568922,1.4293826101837974,0.9514411027568922,0.3761380465822598,1.4276993681716366,0.9492481203007519,1.4294427608170157,0.9492481203007519,0.3761399082050549,1.4277544190785043,0.9483418367346939,1.437105177260213,0.9483418367346939,0.3756474207312211,1.4342155221811668,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,83
s0-step8500-f19of20-d3of4,84,C1,4,3,20,19,0.9581409664512157,1.3524902029912924,0.9581409664512157,0.3585873368437261,1.3486492214314514,0.9636591478696742,1.3076547520716013,0.9636591478696742,0.3520736175596266,1.3059508328216343,0.9633458646616542,1.3076692059972232,0.9633458646616542,0.3520693542438099,1.3059597419980997,0.9400510204081632,1.3495185480462577,0.9400510204081632,0.3563968780746313,1.3466387865589742,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,84
s0-step8500-f19of20-d3of4,84,C2,4,3,20,19,0.9596799015081564,1.3607867154920237,0.9596799015081564,0.3618446991189273,1.3569580569574378,0.9583333333333334,1.3608948728279735,0.9583333333333334,0.3626231139824541,1.3592064558927501,0.9592731829573935,1.360837815483486,0.9592731829573935,0.36259710180449456,1.3591448003682949,0.9378188775510204,1.4294667614395826,0.9378188775510204,0.3727535470869934,1.4265548958067724,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,84
s0-step8500-f19of20-d3of4,84,C3,4,3,20,19,0.9424438288704217,1.4356247555107915,0.9424438288704217,0.376230380791688,1.4317248968889655,0.9555137844611529,1.4264475040646611,0.9555137844611529,0.3759315092172614,1.424745751129356,0.9558270676691729,1.4265636204786243,0.9558270676691729,0.37594201593872223,1.42485630430776,0.9467474489795918,1.4748242447623148,0.9467474489795918,0.3818234459049192,1.4719168608081623,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,84
s0-step8500-f19of20-d3of4,84,C4,4,3,20,19,0.9630655586334257,1.354178697327149,0.9630655586334257,0.36020344938818,1.350153874875344,0.9530075187969925,1.3793194665757935,0.9530075187969925,0.3670189042825411,1.3776263588325197,0.9520676691729323,1.3791993999652994,0.9520676691729323,0.3669900634001595,1.3775016034026641,0.9365433673469388,1.4255286375255496,0.9365433673469388,0.3730405100730571,1.422649685013089,,,fresh_execution,stage18-scaling-24a9adb84176,0,5,8500,84
