weight_name,canonical_frequency_pair,raw_pair_power,normalized_pair_power,descending_rank
token_embedding_W_E,54,1.3485523020328622,0.0037465841025405215,30
token_embedding_W_E,55,1.041835425873308,0.002894455067227605,48
token_embedding_W_E,56,63.51733472940598,0.17646555952943555,1
valid_class_unembedding_W_U,1,2.9558677893096914,0.09672500401571647,5
valid_class_unembedding_W_U,2,0.1520932515015837,0.004976954793262148,40
valid_class_unembedding_W_U,3,4.112438724605731,0.13457153042855585,3
valid_class_unembedding_W_U,4,0.16920906743895817,0.005537036462429577,25
valid_class_unembedding_W_U,5,0.8841021986298362,0.028930518821596432,7
valid_class_unembedding_W_U,6,0.21877646686683455,0.00715903286093211,13
valid_class_unembedding_W_U,7,0.22148438537555487,0.007247644208698573,12
valid_class_unembedding_W_U,8,0.1253380824245468,0.004101444107101879,53
valid_class_unembedding_W_U,9,0.13833404262976465,0.0045267115387454815,48
valid_class_unembedding_W_U,10,0.16834797815149435,0.005508858996208303,27
valid_class_unembedding_W_U,11,0.1589553281256114,0.005201502857088183,35
valid_class_unembedding_W_U,12,0.13644678380769915,0.004464954677426048,49
valid_class_unembedding_W_U,13,0.18418841241198675,0.006027206289344386,21
valid_class_unembedding_W_U,14,0.15185471248027096,0.004969149069380375,41
valid_class_unembedding_W_U,15,0.16887109813480214,0.005525977076614045,26
valid_class_unembedding_W_U,16,0.15298703231382565,0.005006202025823068,38
valid_class_unembedding_W_U,17,4.375462383671016,0.143178466290616,2
valid_class_unembedding_W_U,18,0.15927999504075918,0.005212126948187594,34
valid_class_unembedding_W_U,19,0.17479632317172322,0.005719868500839098,23
valid_class_unembedding_W_U,20,1.6331138438006443,0.05344046295677855,6
valid_class_unembedding_W_U,21,0.17816403771684416,0.005830070386078587,22
valid_class_unembedding_W_U,22,0.15653928146974627,0.0051224424460184145,37
valid_class_unembedding_W_U,23,0.1915623680397673,0.006268504594460854,20
valid_class_unembedding_W_U,24,0.16393626697224536,0.00536449435883435,30
valid_class_unembedding_W_U,25,0.14520929295169532,0.004751690686122403,45
valid_class_unembedding_W_U,26,0.2131862013881153,0.00697610233446079,15
valid_class_unembedding_W_U,27,0.2130847372771204,0.006972782119470482,16
valid_class_unembedding_W_U,28,0.14631416456074547,0.004787845452992807,43
valid_class_unembedding_W_U,29,0.2154267264825136,0.007049419145022063,14
valid_class_unembedding_W_U,30,0.1522334895822628,0.004981543810729675,39
valid_class_unembedding_W_U,31,0.13463166487815825,0.004405558453283747,51
valid_class_unembedding_W_U,32,0.2087944227485582,0.006832389950543069,18
valid_class_unembedding_W_U,33,0.2573880443436143,0.00842252137012787,10
valid_class_unembedding_W_U,34,0.2457156739342705,0.00804056583111495,11
valid_class_unembedding_W_U,35,0.16787662555035363,0.005493434902342181,28
valid_class_unembedding_W_U,36,0.14250748824494364,0.004663279400592184,47
valid_class_unembedding_W_U,37,0.13397955515144855,0.004384219435292886,52
valid_class_unembedding_W_U,38,0.16497072632498863,0.005398345022050771,29
valid_class_unembedding_W_U,39,0.21140826348189606,0.006917922786735175,17
valid_class_unembedding_W_U,40,0.16124265284710534,0.005276351094100643,33
valid_class_unembedding_W_U,41,0.2738090617381175,0.008959867113117413,9
valid_class_unembedding_W_U,42,0.11243628647392989,0.003679258016896263,55
valid_class_unembedding_W_U,43,0.16263511089134286,0.005321916565739023,32
valid_class_unembedding_W_U,44,0.20487335842397414,0.0067040807738224665,19
valid_class_unembedding_W_U,45,0.44904963716196045,0.014694272901796541,8
valid_class_unembedding_W_U,46,0.10712761635760212,0.0035055421490293058,56
valid_class_unembedding_W_U,47,0.14690446131785112,0.004807161762202578,42
valid_class_unembedding_W_U,48,3.3439894415267766,0.10942552753204443,4
valid_class_unembedding_W_U,49,0.1452145023942098,0.004751861154960677,44
valid_class_unembedding_W_U,50,0.14307154782038917,0.0046817371492429835,46
valid_class_unembedding_W_U,51,0.15782439932271253,0.005164495419408628,36
valid_class_unembedding_W_U,52,0.16282744727759135,0.0053282103985686025,31
valid_class_unembedding_W_U,53,0.12516385727874296,0.0040957429292655554,54
valid_class_unembedding_W_U,54,0.13582067770123224,0.004444466577152652,50
valid_class_unembedding_W_U,55,0.16946992666509175,0.00554557257144858,24
valid_class_unembedding_W_U,56,4.673163384573796,0.15292015047958613,1
