component_identifier,neuron_index,activation_mean,activation_variance,near_constant,total_non_dc_power,diagonal_power,diagonal_power_fraction,dominant_canonical_frequency_pair
N59,59,3.8721102599204196,35.463881721404285,False,452838.3057006112,54173.636955551614,0.11963130387509198,1
N60,60,8.012587717300617,129.27034756385115,False,1650653.0680428147,217234.4318522989,0.1316051422664331,17
N61,61,4.1289260650308455,31.31410698452438,False,399849.83208539174,43112.9218791219,0.10782278350416996,17
N62,62,3.662880387242241,25.957505748106733,False,331451.39089757483,32905.44667033816,0.09927683990472862,3
N63,63,2.209540742291714,11.847878350928555,False,151285.55866300673,3534.0428261380976,0.023360080482039185,20
N64,64,9.750984491516043,195.8353381786194,False,2500621.43320279,285352.30318587663,0.11411255594190364,56
N65,65,1.8591009100237172,4.295389620942652,False,54847.83006981672,1796.648525147038,0.03275696637150557,17
N66,66,4.498938172145141,40.34834957637264,False,515208.0757407022,56119.86031906505,0.10892659288848079,17
N67,67,2.4245705866921483,10.07059097351994,False,128591.37614087606,10538.695884939869,0.0819549195382619,17
N68,68,1.4157987661398144,4.16856281910443,False,53228.37863714446,704.3412596065741,0.01323243874114667,5
N69,69,9.239289758825024,157.29418735503987,False,2008489.4783365042,261024.25974423325,0.1299604815258589,17
N70,70,4.912707701698084,46.0341651879594,False,587810.2552850535,63996.58374599206,0.10887286019696521,3
N71,71,4.138936692379022,34.595555497881165,False,441750.6481524445,48254.214066671935,0.1092340538004594,3
N72,72,3.4823691950982587,23.790449916602146,False,303780.2549850926,32767.54519489344,0.10786594802384848,3
N73,73,1.9836643650480397,7.549966121153018,False,96405.51740100289,1998.2632629795576,0.02072768568491465,1
N74,74,2.1087384178372304,10.57186656486131,False,134992.16416671412,12620.817693532463,0.09349296510237338,20
N75,75,4.981789233842181,52.25280146019843,False,667216.0218452737,71905.37637015518,0.10776925915431618,48
N76,76,2.0184462417953064,6.309773775338888,False,80569.50133730224,2748.739847239143,0.03411638152917952,48
N77,77,1.4839528159134021,5.662362856089398,False,72302.7113094055,2603.7091269248936,0.03601122391915323,48
N78,78,1.1614538960099292,3.2209811817445777,False,41128.70870969651,1080.6657726982633,0.026275217642402794,20
N79,79,1.9793497524068502,7.938796409349359,False,101370.49135098195,8789.491856482702,0.08670661194735899,3
N80,80,0.8956722930290584,1.6472055442202345,False,21033.16759414817,398.04753114562925,0.018924754408193547,5
N81,81,2.9409847747246065,19.695895720921122,False,251496.8924604418,25572.96408395748,0.1016830221390504,48
N82,82,1.7295300239581521,4.807286499540683,False,61384.241312634964,1428.8948215628147,0.02327787704152498,17
N83,83,6.835245907789582,91.44900292874937,False,1167712.3183972,126036.8169843693,0.10793481836122722,48
N84,84,3.8263359718306336,33.263708506642836,False,424744.29392132215,42242.50569107275,0.09945396864801102,17
N85,85,4.265226318290362,38.72165441520675,False,494436.8052277749,55042.60423548904,0.11132384089030804,17
N86,86,4.064198447692481,33.61405747401922,False,429217.89988575137,35718.725488266085,0.08321816377596006,3
N87,87,9.704511782058894,186.80425526045818,False,2385303.5354207903,277731.60425067047,0.11643449151291178,56
N88,88,1.3887709661680494,4.580790396107549,False,58492.11256789728,2202.165515575626,0.03764893109339086,3
N89,89,2.8024613882131124,13.705844609245217,False,175009.92981545214,12341.109566721325,0.07051662485514404,20
N90,90,6.349431420316835,58.64156428757231,False,748794.1343880103,81834.01431133073,0.109287734175714,3
N91,91,3.9439243394307706,32.46322962881373,False,414522.97913032246,45900.11869511546,0.11072997398459027,17
N92,92,1.8012352997945926,6.571250354151896,False,83908.29577216555,4931.871546829959,0.05877692427720576,3
N93,93,1.037072570759195,1.9971645989197142,False,25501.79476360583,303.77749170664595,0.011912004410770862,17
N94,94,2.699008809683531,14.709674244255785,False,187827.83042490215,8560.879906177854,0.045578335685460034,48
N95,95,6.339895741815318,70.7319436655008,False,903176.1886647795,105667.35172310805,0.1169952807096504,48
