cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,model_seed,checkpoint_step,primary_cell,search_execution_mode,source_stage,source_run_id,family_size,family_target,right_censored,right_censoring_status,status,stopping_reason,exact_evaluations_used,ranking_passes,restarts_attempted,accepted_circuit_count,failed_requested_member_count,budget_remaining,transfer_group_count,transfer_group_status,pair_count,minimum_pairwise_jaccard_overlap,maximum_pairwise_jaccard_overlap,mean_pairwise_overlap,median_pairwise_overlap,minimum_structural_distance,maximum_structural_distance,mean_structural_distance,cutoff_compliance,stage18_run_id,checkpoint_index,global_cell_index
37,s0-step7450-f4of5-d1of4,4,5,0.800,1,4,0.25,0,7450,False,fresh_execution,,,3,10,False,not_right_censored,budget_exhaustion,requested_member_4_budget_exhaustion,32668,2034,5,3,1,17332,1,complete,3,0.12048192771084337,0.23684210526315788,0.16849072704071646,0.14814814814814814,0.7631578947368421,0.8795180722891567,0.8315092729592836,True,stage18-scaling-24a9adb84176,3,37
38,s0-step7450-f4of5-d1of2,4,5,0.800,1,2,0.50,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3114,7,6,1,0,1,complete,15,0.12048192771084337,0.323943661971831,0.2254326785595961,0.23376623376623376,0.676056338028169,0.8795180722891567,0.7745673214404039,True,stage18-scaling-24a9adb84176,3,38
39,s0-step7450-f4of5-d3of4,4,5,0.800,3,4,0.75,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3114,7,6,1,0,1,complete,15,0.12048192771084337,0.323943661971831,0.2254326785595961,0.23376623376623376,0.676056338028169,0.8795180722891567,0.7745673214404039,True,stage18-scaling-24a9adb84176,3,39
40,s0-step7450-f17of20-d1of4,17,20,0.850,1,4,0.25,0,7450,False,fresh_execution,,,3,10,False,not_right_censored,budget_exhaustion,requested_member_4_budget_exhaustion,32533,2025,5,3,1,17467,1,complete,3,0.1348314606741573,0.24050632911392406,0.18463640611983664,0.17857142857142858,0.759493670886076,0.8651685393258427,0.8153635938801633,True,stage18-scaling-24a9adb84176,3,40
41,s0-step7450-f17of20-d1of2,17,20,0.850,1,2,0.50,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3112,7,6,1,0,1,complete,15,0.1348314606741573,0.3333333333333333,0.2415443883348521,0.24358974358974358,0.6666666666666667,0.8651685393258427,0.758455611665148,True,stage18-scaling-24a9adb84176,3,41
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3112,7,6,1,0,1,complete,15,0.1348314606741573,0.3333333333333333,0.2415443883348521,0.24358974358974358,0.6666666666666667,0.8651685393258427,0.758455611665148,True,stage18-scaling-24a9adb84176,3,42
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,0,7450,False,fresh_execution,,,4,10,False,not_right_censored,budget_exhaustion,requested_member_5_budget_exhaustion,39634,2465,6,4,1,10366,1,complete,6,0.13,0.18947368421052632,0.17352678670845686,0.1819482600732601,0.8105263157894737,0.87,0.8264732132915431,True,stage18-scaling-24a9adb84176,3,43
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3110,7,6,1,0,1,complete,15,0.13,0.34146341463414637,0.21415826264568155,0.18947368421052632,0.6585365853658536,0.87,0.7858417373543184,True,stage18-scaling-24a9adb84176,3,44
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,0,7450,False,fresh_execution,,,6,10,False,not_right_censored,budget_exhaustion,requested_member_7_budget_exhaustion,50000,3110,7,6,1,0,1,complete,15,0.13,0.34146341463414637,0.21415826264568155,0.18947368421052632,0.6585365853658536,0.87,0.7858417373543184,True,stage18-scaling-24a9adb84176,3,45
46,s0-step7450-f19of20-d1of4,19,20,0.950,1,4,0.25,0,7450,False,fresh_execution,,,3,10,False,not_right_censored,budget_exhaustion,requested_member_4_budget_exhaustion,31949,1985,5,3,1,18051,1,complete,3,0.12389380530973451,0.23232323232323232,0.1625986616671293,0.13157894736842105,0.7676767676767677,0.8761061946902655,0.8374013383328708,True,stage18-scaling-24a9adb84176,3,46
