model_seed,checkpoint_step,metric,trajectory_value,value_status,undefined_reason,trajectory_definition,independent_unit
2,8150,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
2,8500,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
2,8500,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
2,8500,median_pairwise_overlap,0.1858974358974359,defined,,raw_checkpoint_value,trained_model_seed
2,8500,median_circuit_size,102,defined,,raw_checkpoint_value,trained_model_seed
2,8500,mean_transfer_fidelity,0.9901381827958725892857142857,defined,,raw_checkpoint_value,trained_model_seed
2,8500,matched_fidelity_structural_diversity,0.07929593426830995,defined,,adjacent_change_right_minus_left,trained_model_seed
2,8500,matched_sparsity_fidelity,-0.0000783146683374,defined,,adjacent_change_right_minus_left,trained_model_seed
2,8650,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
2,8650,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
2,8650,median_pairwise_overlap,0.1875,defined,,raw_checkpoint_value,trained_model_seed
2,8650,median_circuit_size,92,defined,,raw_checkpoint_value,trained_model_seed
2,8650,mean_transfer_fidelity,0.9902133979663623571428571429,defined,,raw_checkpoint_value,trained_model_seed
2,8650,matched_fidelity_structural_diversity,-0.0016025641025641,defined,,adjacent_change_right_minus_left,trained_model_seed
2,8650,matched_sparsity_fidelity,0.0000783146683373,defined,,adjacent_change_right_minus_left,trained_model_seed
2,9050,structural_family_size,7,defined,,raw_checkpoint_value,trained_model_seed
2,9050,transfer_distinct_group_count,1,defined,,raw_checkpoint_value,trained_model_seed
2,9050,median_pairwise_overlap,0.16216216216216217,defined,,raw_checkpoint_value,trained_model_seed
2,9050,median_circuit_size,85,defined,,raw_checkpoint_value,trained_model_seed
2,9050,mean_transfer_fidelity,0.9902873021817881535714285714,defined,,raw_checkpoint_value,trained_model_seed
2,9050,matched_fidelity_structural_diversity,0.02533783783783783,defined,,adjacent_change_right_minus_left,trained_model_seed
2,9050,matched_sparsity_fidelity,-0.0000783146683374,defined,,adjacent_change_right_minus_left,trained_model_seed
3,200,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
3,200,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,200,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,200,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,200,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,200,matched_fidelity_structural_diversity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
3,200,matched_sparsity_fidelity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
3,3400,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
3,3400,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,3400,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,3400,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,3400,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,3400,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
3,3400,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
3,7450,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
3,7450,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,7450,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,7450,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,7450,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,7450,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
3,7450,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
3,8150,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
3,8150,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8150,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8150,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8150,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8150,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
3,8150,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
3,8500,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
3,8500,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8500,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8500,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8500,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8500,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
3,8500,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
3,8650,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
3,8650,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8650,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8650,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8650,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,8650,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
3,8650,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
3,9050,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
3,9050,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,9050,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,9050,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,9050,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
3,9050,matched_fidelity_structural_diversity,,undefined,matched_fidelity_requires_two_matched_circuits_per_condition,adjacent_change_right_minus_left,trained_model_seed
3,9050,matched_sparsity_fidelity,,undefined,matched_sparsity_pair_unavailable,adjacent_change_right_minus_left,trained_model_seed
4,200,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
4,200,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
4,200,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
4,200,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
4,200,mean_transfer_fidelity,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
4,200,matched_fidelity_structural_diversity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
4,200,matched_sparsity_fidelity,,undefined,no_preceding_checkpoint_for_adjacent_change,adjacent_change_right_minus_left,trained_model_seed
4,3400,structural_family_size,0,defined,,raw_checkpoint_value,trained_model_seed
4,3400,transfer_distinct_group_count,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
4,3400,median_pairwise_overlap,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
4,3400,median_circuit_size,,undefined,empty_family_dependent_metric,raw_checkpoint_value,trained_model_seed
