fraction,exact_training_example_count,subset_identifier,subset_sha256,run_id,training_git_commit,device,training_step,learning_rate,weight_norm,gradient_norm,train_loss,test_loss,train_accuracy,test_accuracy,checkpoint_path,checkpoint_sha256,model_state_sha256,optimizer_state_sha256
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2250,0.001,52.112308502197266,5.3291223593987525e-05,2.0445148038561456e-05,33.70334243774414,1.0,0.009508893825113773,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002250.pt,9268d44a51a5e6c256964808886e744873eb6bffb4eec0e5f6432ea0112d10dc,1894ef3d156854690ec2dd5d072ac39ef92e8ca451516c75c886519e036b4616,de58a91d38f61e0851d279121afa9106263369b10ae8461a1927ad336e8246ce
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2300,0.001,52.25416564941406,2.9956390790175647e-05,1.2274287655600347e-05,34.983890533447266,1.0,0.009508893825113773,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002300.pt,df9156690a4112fa2725ced18c82def425f583f263cfb0d096e856cff275dc24,a592eb6ec09dbe99e591597318988cfc80704b5fceab54aeb4da17ae9c131691,dab9461626cde5f8f88a2fe519740d9bbbbb5bef6d0a5cafb7d25c9b876c66ca
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2350,0.001,52.317543029785156,1.908394187921658e-05,7.42934889785829e-06,36.233699798583984,1.0,0.00962076336145401,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002350.pt,49dc6cd0f78573c88deab1e6ae2ba56699a2fca8cdad6c5b36d794f94007c879,323662e104e55db80537c730be01e27f655cc5ecc748551cc4ab3660a412038d,5619281ace064c92c497b74904f9057baec33c4e05cbc950c4f2b9f4b6cbb1cd
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2400,0.001,52.30590057373047,1.4339294466481078e-05,4.552287009573774e-06,37.44334030151367,1.0,0.009397024288773537,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002400.pt,9f2110b22b9bb4a381eed85ba639bbfe61b67b76b15a289220ed1c4c26c6b304,ccde8832cd55a7d208cdcd1fe8663cd08e1a4a947f2174a6526d66b95fbd3aa5,54ce28bf9fff8024638a95c0eb295df0f40360e195ba46b830a56839d56cc1da
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2450,0.001,52.22400665283203,7.393107352982042e-06,2.8405995635694126e-06,38.58871841430664,1.0,0.0092851547524333,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002450.pt,8675131ecbfcf67055679b717364f5c32e0387ef380366002f5468e447a1d564,f54073fbff3d07059a56d6318968407c26468f3c1419f449765dcf21c0ac3400,f4c2dfa90cfe22acc2b6005de28445265548e1b034778338d95b88ac69af6f2e
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2500,0.001,52.07637405395508,4.835355412069475e-06,1.815216137401876e-06,39.64824676513672,1.0,0.009397024288773537,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002500.pt,c9fd3dcac5ce1cc940c717cc0c733bc4d658353abb0bc4367fd19ab337b3eb32,238d1047b6af549592bcf5fc1bbfd1b82b171844c9eefb9860f44002c69f8c89,bad793b3cf8d2c83a4403ef511db3d008cb86f6ff2a73abd404e330744e2df5e
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2550,0.001,51.86549758911133,4.369796897663036e-06,1.2030479865643429e-06,40.58842468261719,1.0,0.009397024288773537,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002550.pt,fbb7ef38581e317166bd3e254413f63c4df2f39d5bdf2dcac5d88e898de48184,75fb56a85daa87d6d248a53703d3f99a2eab56a470013c2144352134716b7fde,7da759dfb4d78eeaec018cf33f34ba1d72a12d5249d3273534676a4fb4c8286b
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2600,0.001,51.58911895751953,2.6858774617721792e-06,8.471636760987167e-07,41.2760124206543,1.0,0.00962076336145401,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002600.pt,f09c7bf17e37deadc83c9719b69e54c31f9ba81a41a5bf0333a7737d7650934d,21026c92e986059cc1825f4344b2b55df8907c1d26fa1e33ce1870f5e1bf94d0,6e712a0e672dba74776e660e9b4597d3399d5fec3550a4ad6c4aff2516f9a1a7
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2650,0.001,51.279930114746094,2.320729436178226e-06,6.346414807012479e-07,41.749244689941406,1.0,0.00962076336145401,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002650.pt,20466efe68c5db355543cceb4e01319c41c9aa9ad40ef105c9220600244b7065,2d26bdbc3a8ccb76d4a1fc37372d3faba12e2304a184a35f768f96110e92b36e,38cb057868908e30564367cf4dcab282bbea1b2b6fd323f97c7609e6456cd38a
0.15,1915,frozen_15pct_training_prefix,9138e5a2b907d3f5867347d842de52ba008399014da049391f3c5cfceecc6c8b,stage13-no-generalisation-training-s0-093bf863c9e7,068d99e0bedd4436b3e721294645cdda0a70734d,cpu,2700,0.001,51.01967239379883,2.462487145749037e-06,4.7770862465768e-07,42.39728927612305,1.0,0.009061416611075401,checkpoints/stage13-no-generalisation-training-s0-093bf863c9e7/step_00002700.pt,deb022775df1eca383df9b89406c3ff0c10aca77b4e63db7d5f3ebbeddcf1df8,bc18069b196017786e7fc55a92d3c61b3436dda0dd06dfd5eab066ac2fa0f771,bb33f58139a3e15fbf467a502c21c41fbcf285f599e50c9df444d1696c0f8f46
