analysis_run_id,workload,cell_id,checkpoint_index,checkpoint_step,fidelity_threshold,distinctness_cutoff,discovery_subset,grouping_tolerance,requested_member_index,accepted_circuit,restart_count,record_type,exact_evaluations_used,elapsed_seconds,included_in_deterministic_scientific_hashes
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00000200-tolerance-00500,0,200,,,,0.05,,,,cell,0,0.00011870800517499447,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00000200-tolerance-01000,0,200,,,,0.1,,,,cell,0,0.00011350004933774471,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00003400-tolerance-00250,1,3400,,,,0.025,,,,cell,0,0.0001382911577820778,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00003400-tolerance-00500,1,3400,,,,0.05,,,,cell,0,0.0001101659145206213,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00003400-tolerance-01000,1,3400,,,,0.1,,,,cell,0,0.00011899997480213642,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00007450-tolerance-00250,2,7450,,,,0.025,,,,cell,0,0.00014150002971291542,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00007450-tolerance-00500,2,7450,,,,0.05,,,,cell,0,0.00010875007137656212,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00007450-tolerance-01000,2,7450,,,,0.1,,,,cell,0,0.0001137908548116684,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00008150-tolerance-00250,3,8150,,,,0.025,,,,cell,0,0.00013212510384619236,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00008150-tolerance-00500,3,8150,,,,0.05,,,,cell,0,0.0001027081161737442,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00008150-tolerance-01000,3,8150,,,,0.1,,,,cell,0,0.00010420801118016243,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00008500-tolerance-00250,4,8500,,,,0.025,,,,cell,0,0.00014058314263820648,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00008500-tolerance-00500,4,8500,,,,0.05,,,,cell,0,0.0001268328633159399,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00008500-tolerance-01000,4,8500,,,,0.1,,,,cell,0,0.00012149987742304802,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00008650-tolerance-00250,5,8650,,,,0.025,,,,cell,0,0.00013341708108782768,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00008650-tolerance-00500,5,8650,,,,0.05,,,,cell,0,0.00011079106479883194,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00008650-tolerance-01000,5,8650,,,,0.1,,,,cell,0,0.00011154101230204105,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00009050-tolerance-00250,6,9050,,,,0.025,,,,cell,0,0.00014033308252692223,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00009050-tolerance-00500,6,9050,,,,0.05,,,,cell,0,0.0001077079214155674,False
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer-grouping-step-00009050-tolerance-01000,6,9050,,,,0.1,,,,cell,0,0.0001067090779542923,False
