cell_id,circuit_id,cross_entropy,evaluation_subset,fidelity,ground_truth_accuracy,jensen_shannon_divergence,kl_divergence,prediction_agreement_count,source_run_id,source_stage,subset_example_count,transfer_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s0-step7450-f4of5-d3of4,C3,1.4723125359307236,Q2,0.8032581453634086,0.8032581453634086,0.37576470851144267,1.4705715111481903,2564,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C3,1.4733582408716528,Q3,0.8057644110275689,0.8057644110275689,0.3759113918308036,1.4716149800796094,2572,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C3,1.4452393459612314,Q4,0.7914540816326531,0.7914540816326531,0.3694412959222824,1.44324730882749,2482,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C4,1.3969934167186755,Q1,0.8177900892582333,0.8174823022468451,0.3621609519238943,1.394943412979242,2657,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C4,1.3987844883146834,Q2,0.7973057644110275,0.7973057644110275,0.36363497337666023,1.3969988482362383,2545,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C4,1.3994249665717546,Q3,0.7969924812030075,0.7969924812030075,0.3637215489390911,1.3976442674863476,2544,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C4,1.3775666882964064,Q4,0.7885841836734694,0.7885841836734694,0.3562411831463782,1.3755202577220709,2473,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C5,1.484992356266323,Q1,0.8137888581101878,0.8134810710987996,0.37836237879577195,1.483008714009245,2644,,,3249,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C5,1.5032178469966246,Q2,0.806704260651629,0.806704260651629,0.38331638559066505,1.501454647923388,2575,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C5,1.5035912293898768,Q3,0.8088972431077694,0.8088972431077694,0.38333552621099587,1.5018158290059047,2582,,,3192,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
s0-step7450-f4of5-d3of4,C5,1.5127409852824971,Q4,0.8013392857142857,0.8013392857142857,0.38179285479804537,1.5107807221226108,2513,,,3136,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
