analysis_run_id,workload,record_type,cell_id,sequence_index,checkpoint_index,checkpoint_step,discovery_subset,evaluation_subset,circuit_id,source_member_index,search_status,retained_component_count,primary_fidelity,prediction_agreement_count,evaluated_example_count,exact_evaluations_used,grouping_tolerance_numerator,grouping_tolerance_denominator,grouping_tolerance,group_count,groups_json,pairwise_distances_json,scientifically_executed,raw_cell_directory
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00008650-q4,54,5,8650,Q4,,,,no_feasible_sparse_candidate_discovered_within_budget,516,1.0,3136,3136,516,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00008650/Q4
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00009050-q1,55,6,9050,Q1,,,,valid_but_not_meaningfully_sparse,515,0.9901508156355802,3217,3249,547,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00009050/Q1
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00009050-q2,56,6,9050,Q2,,,,valid_but_not_meaningfully_sparse,515,0.9921679197994987,3167,3192,787,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00009050/Q2
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00009050-q3,57,6,9050,Q3,,,,no_feasible_sparse_candidate_discovered_within_budget,516,1.0,3192,3192,516,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00009050/Q3
stage14-random-label-analysis-s0-7b472aa5163a,subset_discovery,subset_discovery_search,subset-discovery-step-00009050-q4,58,6,9050,Q4,,,,no_feasible_sparse_candidate_discovered_within_budget,516,1.0,3136,3136,516,,,,,,,True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/subset_discovery/step_00009050/Q4
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00000200-tolerance-00250,59,0,200,,,,,,,,,,0,1,40,0.025,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00000200/tolerance_1_40
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00000200-tolerance-00500,60,0,200,,,,,,,,,,0,1,20,0.05,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00000200/tolerance_1_20
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00000200-tolerance-01000,61,0,200,,,,,,,,,,0,1,10,0.1,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00000200/tolerance_1_10
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00003400-tolerance-00250,62,1,3400,,,,,,,,,,0,1,40,0.025,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00003400/tolerance_1_40
stage14-random-label-analysis-s0-7b472aa5163a,transfer_grouping,transfer_grouping,transfer-grouping-step-00003400-tolerance-00500,63,1,3400,,,,,,,,,,0,1,20,0.05,,[],{},True,results/raw/stage14-random-label-analysis-s0-7b472aa5163a/transfer_grouping/step_00003400/tolerance_1_20
