stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_id,family_member_index,retained_heads,retained_neurons,retained_components,retained_proportion,fidelity,agreement_count,evaluated_example_count,threshold_pass,ground_truth_accuracy,cross_entropy,kl_divergence,jensen_shannon_divergence,local_single_deletion_minimality,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,mask_sha256,exact_evaluation_count,ranking_passes,selected_restart
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C2,2,4,78,82,0.15891472868217055,0.8504972981439424,10860,12769,True,0.8503406688072676,0.5546901152249172,0.5508507204359743,0.1507203174874973,True,20,139,0.14388489208633093,0.14388489208633093,1ce209177d8aeb50723ee6c2eaaccd8e3bb43714a6d36523d8d67feac624ace0,7154,435,0
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C3,3,4,63,67,0.1298449612403101,0.8504972981439424,10860,12769,True,0.8506539274806171,0.5482940106722467,0.5447580243318099,0.15133367639914877,True,5,19,0.2631578947368421,0.21361019736842105,bf04f9c2243a262f16942e211f442bcd2ff507d839d44564dd2753591c8b9446,7315,450,0
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C4,4,4,67,71,0.1375968992248062,0.8512804448273161,10870,12769,True,0.8509671861539666,0.5709026650917917,0.5670807830321614,0.15537302910269124,True,8,29,0.27586206896551724,0.2375764451857311,7f87ca7f80455fc60d3235894da35eec35d3471ba40c1617c788bc11c7b26585,7207,446,0
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C5,5,4,68,72,0.13953488372093023,0.8502623541389303,10857,12769,True,0.850418983475605,0.5317727080960813,0.5284186299320248,0.1454077781935236,True,35,114,0.30701754385964913,0.2207655804075131,439c0776efa775d86fe8b3147d57882f137cede8cefb64970db1dcbb2ce7b1c4,7176,445,0
stage17-sensitivity-s1-7801e7938531,6,s1-step9050-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C6,6,4,64,68,0.13178294573643412,0.8527684235257263,10889,12769,True,0.8526117941890516,0.5485621474652227,0.5448535325792652,0.1500998311416754,True,30,109,0.27522935779816515,0.24443454315169447,cbde2d9a3cc687e1a09b29d9febbfe9d6cbeda8a572763b75d7e33ad71c76226,7300,449,0
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C1,1,4,78,82,0.15891472868217055,0.9003054272065157,11496,12769,True,0.8999921685331662,0.3809693600525678,0.3772179271599095,0.10761764985579339,True,0,1,0.0,,91e2f13a982f3cd5632a9ae17900c6ca64184af5aee1a50a30af792392ee060b,7042,435,0
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C2,2,4,82,86,0.16666666666666666,0.9000704832015036,11493,12769,True,0.9002271125381784,0.4174279849076975,0.4140574773429258,0.11865850883317704,True,11,73,0.1506849315068493,0.1506849315068493,b3398f90acd93975ed112fbba0a34d47aada96a664076dbba2ebce9f59d60c8d,6982,431,0
stage17-sensitivity-s1-7801e7938531,7,s1-step9050-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C3,3,4,105,109,0.21124031007751937,0.9002271125381784,11495,12769,True,0.9000704832015036,0.39984324979939184,0.3965151747221486,0.11255915156533412,True,30,161,0.18633540372670807,0.14401515949047267,4d2ceb926f318071d7f8b35cc38fd88506d0bbb50cd00665313aff453b742b4d,6621,408,0
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,1,4,78,82,0.15891472868217055,0.9003054272065157,11496,12769,True,0.8999921685331662,0.3809693600525678,0.3772179271599095,0.10761764985579339,True,0,1,0.0,,91e2f13a982f3cd5632a9ae17900c6ca64184af5aee1a50a30af792392ee060b,7042,435,0
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,2,4,82,86,0.16666666666666666,0.9000704832015036,11493,12769,True,0.9002271125381784,0.4174279849076975,0.4140574773429258,0.11865850883317704,True,11,73,0.1506849315068493,0.1506849315068493,b3398f90acd93975ed112fbba0a34d47aada96a664076dbba2ebce9f59d60c8d,6982,431,0
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C3,3,4,105,109,0.21124031007751937,0.9002271125381784,11495,12769,True,0.9000704832015036,0.39984324979939184,0.3965151747221486,0.11255915156533412,True,30,161,0.18633540372670807,0.14401515949047267,4d2ceb926f318071d7f8b35cc38fd88506d0bbb50cd00665313aff453b742b4d,6621,408,0
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C4,4,4,87,91,0.17635658914728683,0.900148797869841,11494,12769,True,0.900148797869841,0.3972263228687309,0.3938758287993017,0.11230203094663035,True,39,134,0.291044776119403,0.2112784912646072,1dca603526d31b23704e24e277dd698840c8b4eff3f295dcc7588d66564a2039,6955,426,0
stage17-sensitivity-s1-7801e7938531,8,s1-step9050-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C5,5,4,85,89,0.17248062015503876,0.9002271125381784,11495,12769,True,0.8999138538648289,0.4208056579730335,0.4171659780724821,0.11914138562623913,True,2,7,0.2857142857142857,0.23200295704625243,78051e649e97b047ab710834bdaeaf6284d25e7c54a5639b9cb34b0114c85569,7033,428,0
