model_seed,checkpoint_step,cell_id,exact_evaluations_used,ranking_passes,restarts_attempted
1,3400,s1-step3400-f9of10-d3of4,1208,13,1
1,3400,s1-step3400-f19of20-d1of4,799,6,1
1,3400,s1-step3400-f19of20-d1of2,799,6,1
1,3400,s1-step3400-f19of20-d3of4,799,6,1
1,3400,s1-step3400-f39of40-d1of4,531,2,1
1,3400,s1-step3400-f39of40-d1of2,531,2,1
1,3400,s1-step3400-f39of40-d3of4,531,2,1
1,3400,s1-step3400-f99of100-d1of4,755,2,1
1,3400,s1-step3400-f99of100-d1of2,755,2,1
1,3400,s1-step3400-f99of100-d3of4,755,2,1
1,7450,s1-step7450-f4of5-d1of4,1808,53,1
1,7450,s1-step7450-f4of5-d1of2,1808,53,1
1,7450,s1-step7450-f4of5-d3of4,1808,53,1
1,7450,s1-step7450-f17of20-d1of4,1347,34,1
1,7450,s1-step7450-f17of20-d1of2,1347,34,1
1,7450,s1-step7450-f17of20-d3of4,1347,34,1
1,7450,s1-step7450-f9of10-d1of4,1503,22,1
1,7450,s1-step7450-f9of10-d1of2,1503,22,1
1,7450,s1-step7450-f9of10-d3of4,1503,22,1
1,7450,s1-step7450-f19of20-d1of4,781,8,1
1,7450,s1-step7450-f19of20-d1of2,781,8,1
1,7450,s1-step7450-f19of20-d3of4,781,8,1
1,7450,s1-step7450-f39of40-d1of4,546,3,1
1,7450,s1-step7450-f39of40-d1of2,546,3,1
1,7450,s1-step7450-f39of40-d3of4,546,3,1
1,7450,s1-step7450-f99of100-d1of4,579,2,1
1,7450,s1-step7450-f99of100-d1of2,579,2,1
1,7450,s1-step7450-f99of100-d3of4,579,2,1
1,8150,s1-step8150-f4of5-d1of4,5087,134,1
1,8150,s1-step8150-f4of5-d1of2,5087,134,1
1,8150,s1-step8150-f4of5-d3of4,5087,134,1
1,8150,s1-step8150-f17of20-d1of4,4788,97,1
1,8150,s1-step8150-f17of20-d1of2,4788,97,1
1,8150,s1-step8150-f17of20-d3of4,4788,97,1
1,8150,s1-step8150-f9of10-d1of4,2713,44,1
1,8150,s1-step8150-f9of10-d1of2,2713,44,1
1,8150,s1-step8150-f9of10-d3of4,2713,44,1
1,8150,s1-step8150-f19of20-d1of4,1523,18,1
1,8150,s1-step8150-f19of20-d1of2,1523,18,1
1,8150,s1-step8150-f19of20-d3of4,1523,18,1
1,8150,s1-step8150-f39of40-d1of4,592,5,1
1,8150,s1-step8150-f39of40-d1of2,592,5,1
1,8150,s1-step8150-f39of40-d3of4,592,5,1
1,8150,s1-step8150-f99of100-d1of4,754,3,1
1,8150,s1-step8150-f99of100-d1of2,754,3,1
1,8150,s1-step8150-f99of100-d3of4,754,3,1
1,8500,s1-step8500-f4of5-d1of4,15821,785,4
1,8500,s1-step8500-f4of5-d1of2,15821,785,4
1,8500,s1-step8500-f4of5-d3of4,15821,785,4
1,8500,s1-step8500-f17of20-d1of4,5543,238,1
1,8500,s1-step8500-f17of20-d1of2,5543,238,1
1,8500,s1-step8500-f17of20-d3of4,5543,238,1
1,8500,s1-step8500-f9of10-d1of4,4167,158,1
1,8500,s1-step8500-f9of10-d1of2,4167,158,1
1,8500,s1-step8500-f9of10-d3of4,4167,158,1
1,8500,s1-step8500-f19of20-d1of4,2601,60,1
1,8500,s1-step8500-f19of20-d1of2,2601,60,1
1,8500,s1-step8500-f19of20-d3of4,2601,60,1
1,8500,s1-step8500-f39of40-d1of4,1455,22,1
1,8500,s1-step8500-f39of40-d1of2,1455,22,1
1,8500,s1-step8500-f39of40-d3of4,1455,22,1
1,8500,s1-step8500-f99of100-d1of4,687,6,1
1,8500,s1-step8500-f99of100-d1of2,687,6,1
1,8500,s1-step8500-f99of100-d3of4,687,6,1
1,8650,s1-step8650-f4of5-d1of4,28380,1661,5
