cell_id,cell_index,circuit_i,circuit_j,maximum_absolute_difference,maximum_distance_subset,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,same_primary_transfer_group,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s2-step7450-f4of5-d3of4,291,C3,C4,0.01660401002506262,Q3,0.008310249307479256,0.0006265664160400863,0.01660401002506262,0.006696428571428603,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f4of5-d3of4,291,C3,C5,0.010204081632652962,Q4,0.002462296091104932,0.00783208020050119,0.001879699248120259,0.010204081632652962,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f4of5-d3of4,291,C3,C6,0.015625,Q4,0.008618036318867373,0.005639097744360888,0.0006265664160400863,0.015625,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f4of5-d3of4,291,C3,C7,0.012755102040816424,Q4,0.003693444136657398,0.0012531328320802837,0.007205513784461104,0.012755102040816424,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f4of5-d3of4,291,C4,C5,0.01848370927318288,Q3,0.010772545398584188,0.008458646616541277,0.01848370927318288,0.016900510204081565,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f4of5-d3of4,291,C4,C6,0.022321428571428603,Q4,0.0003077870113881165,0.006265664160400974,0.015977443609022535,0.022321428571428603,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f4of5-d3of4,291,C4,C7,0.012003693444136654,Q1,0.012003693444136654,0.0006265664160401974,0.009398496240601517,0.006058673469387821,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f4of5-d3of4,291,C5,C6,0.011080332409972304,Q1,0.011080332409972304,0.002192982456140302,0.0025062656641603454,0.0054209183673470385,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f4of5-d3of4,291,C5,C7,0.022959183673469385,Q4,0.001231148045552466,0.009085213032581474,0.009085213032581363,0.022959183673469385,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f4of5-d3of4,291,C6,C7,0.028380102040816424,Q4,0.01231148045552477,0.006892230576441172,0.006578947368421018,0.028380102040816424,True,stage18-scaling-24a9adb84176,2,3,7450,291
s2-step7450-f17of20-d1of4,292,C1,C2,0.010464758387196071,Q1,0.010464758387196071,0.002192982456140302,0.0031328320802004317,0.002869897959183687,True,stage18-scaling-24a9adb84176,2,3,7450,292
s2-step7450-f17of20-d1of4,292,C1,C3,0.010841836734693966,Q4,0.0027700831024930483,0.006578947368421129,0.00031328320802004317,0.010841836734693966,True,stage18-scaling-24a9adb84176,2,3,7450,292
s2-step7450-f17of20-d1of4,292,C2,C3,0.013711734693877653,Q4,0.007694675284703023,0.00877192982456143,0.0028195488721803885,0.013711734693877653,True,stage18-scaling-24a9adb84176,2,3,7450,292
s2-step7450-f17of20-d1of2,293,C1,C2,0.010464758387196071,Q1,0.010464758387196071,0.002192982456140302,0.0031328320802004317,0.002869897959183687,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C1,C3,0.010841836734693966,Q4,0.0027700831024930483,0.006578947368421129,0.00031328320802004317,0.010841836734693966,True,stage18-scaling-24a9adb84176,2,3,7450,293
