cell_index,cell_id,requested_member_index,member_label,accepted_circuit,representative_restart_index,primary_fidelity,retained_component_count,retained_component_proportion,maximum_prior_overlap_numerator,maximum_prior_overlap_denominator,maximum_prior_overlap,mean_prior_overlap,cumulative_exact_evaluations,member_exact_evaluations,member_ranking_passes,restart_count,status,failure_reason,family_right_censored,search_execution_mode,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
37,s0-step7450-f4of5-d1of4,4,C4,False,1,1.0,362,,34,375,0.09066666666666667,,32668,10000,623,2,budget_exhaustion,requested_member_4_budget_exhaustion,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,37
38,s0-step7450-f4of5-d1of2,1,C1,True,0,0.8053097345132744,47,0.09108527131782945,0,1,0.0,,7551,7551,470,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,2,C2,True,0,0.8073459158900462,46,0.08914728682170543,10,83,0.12048192771084337,0.12048192771084337,15117,7566,471,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,3,C3,True,0,0.8024904064531286,47,0.09108527131782945,9,38,0.23684210526315788,0.192495126705653,22668,7551,470,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,4,C4,True,0,0.8002975957396821,48,0.09302325581395349,22,73,0.3013698630136986,0.23671203225997745,30204,7536,469,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,5,C5,True,0,0.807737489231733,47,0.09108527131782945,23,71,0.323943661971831,0.27145996019375085,37755,7551,470,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,6,C6,True,0,0.8155689560654711,49,0.09496124031007752,19,77,0.24675324675324675,0.21600841194337128,45276,7521,468,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
38,s0-step7450-f4of5-d1of2,7,C7,False,0,0.9999216853316626,221,,15,119,0.12605042016806722,,50000,4724,296,1,budget_exhaustion,requested_member_7_budget_exhaustion,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,38
39,s0-step7450-f4of5-d3of4,1,C1,True,0,0.8053097345132744,47,0.09108527131782945,0,1,0.0,,7551,7551,470,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,2,C2,True,0,0.8073459158900462,46,0.08914728682170543,10,83,0.12048192771084337,0.12048192771084337,15117,7566,471,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,3,C3,True,0,0.8024904064531286,47,0.09108527131782945,9,38,0.23684210526315788,0.192495126705653,22668,7551,470,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,4,C4,True,0,0.8002975957396821,48,0.09302325581395349,22,73,0.3013698630136986,0.23671203225997745,30204,7536,469,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,5,C5,True,0,0.807737489231733,47,0.09108527131782945,23,71,0.323943661971831,0.27145996019375085,37755,7551,470,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,6,C6,True,0,0.8155689560654711,49,0.09496124031007752,19,77,0.24675324675324675,0.21600841194337128,45276,7521,468,1,accepted,,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
39,s0-step7450-f4of5-d3of4,7,C7,False,0,0.9999216853316626,221,,15,119,0.12605042016806722,,50000,4724,296,1,budget_exhaustion,requested_member_7_budget_exhaustion,False,fresh_execution,stage18-scaling-24a9adb84176,0,3,7450,39
