accepted_candidate,budget_exhausted,budget_remaining,candidate_batches_tested,cell_id,cell_index,distinctness_denominator,distinctness_numerator,exact_evaluation_budget,exact_evaluations_used,failure_detail,fidelity_denominator,fidelity_numerator,locally_single_deletion_minimal,maximum_pairwise_overlap,maximum_pairwise_overlap_denominator,maximum_pairwise_overlap_numerator,meaningfully_sparse,outcome_status,primary_fidelity,ranking_passes_used,rejected_candidate_count,requested_member_index,restart_index,restart_used,retained_component_count,search_execution_mode,search_status,seed_integer,seed_sha256_digest,source_run_id,source_stage,stopping_reason,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
False,False,9439,36,s0-step3400-f19of20-d3of4,30,4,3,10000,561,,20,19,True,0.0,1,0,False,sparsity_failure,0.9508183882841256,4,558,1,0,True,513,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,30
False,False,9262,47,s0-step3400-f39of40-d1of4,31,4,1,10000,738,,40,39,True,0.0,1,0,False,sparsity_failure,0.9751742501370507,3,736,1,0,True,514,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,31
False,False,9262,47,s0-step3400-f39of40-d1of2,32,2,1,10000,738,,40,39,True,0.0,1,0,False,sparsity_failure,0.9751742501370507,3,736,1,0,True,514,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,32
False,False,9262,47,s0-step3400-f39of40-d3of4,33,4,3,10000,738,,40,39,True,0.0,1,0,False,sparsity_failure,0.9751742501370507,3,736,1,0,True,514,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,33
False,False,9389,39,s0-step3400-f99of100-d1of4,34,4,1,10000,611,,100,99,True,0.0,1,0,False,sparsity_failure,0.9900540371211528,2,610,1,0,True,515,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,34
False,False,9389,39,s0-step3400-f99of100-d1of2,35,2,1,10000,611,,100,99,True,0.0,1,0,False,sparsity_failure,0.9900540371211528,2,610,1,0,True,515,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,35
False,False,9389,39,s0-step3400-f99of100-d3of4,36,4,3,10000,611,,100,99,True,0.0,1,0,False,sparsity_failure,0.9900540371211528,2,610,1,0,True,515,fresh_execution,valid_but_not_meaningfully_sparse,,,,,locally_single_deletion_minimal_nonsparse_mask,stage18-scaling-24a9adb84176,0,2,3400,36
True,False,2449,472,s0-step7450-f4of5-d1of4,37,4,1,10000,7551,,5,4,True,0.0,1,0,True,valid_distinct_candidate,0.8053097345132744,470,7082,1,0,True,47,fresh_execution,valid_sparse_circuit,,,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,37
True,False,2434,473,s0-step7450-f4of5-d1of4,37,4,1,10000,7566,,5,4,True,0.12048192771084337,83,10,True,valid_distinct_candidate,0.8073459158900462,471,7096,2,0,True,46,fresh_execution,valid_sparse_circuit,2201230925,83341e4d997be6741928e5ba753697b9362d1c6ad50ec57dbcd9ac152da1361a,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,37
True,False,2449,472,s0-step7450-f4of5-d1of4,37,4,1,10000,7551,,5,4,True,0.23684210526315788,38,9,True,valid_distinct_candidate,0.8024904064531286,470,7082,3,0,True,47,fresh_execution,valid_sparse_circuit,3569438268,d4c14e3c9a49c39cc79e96a27bf1afdd0440e58e0c05dbdbbde795bdc0c1d38b,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,37
False,False,2464,471,s0-step7450-f4of5-d1of4,37,4,1,10000,7536,,5,4,True,0.3013698630136986,73,22,True,distinctness_failure,0.8002975957396821,469,7068,4,0,True,48,fresh_execution,valid_sparse_circuit,3988005954,edb42442235d7b61d53fa0c5a1c51f5bb23b6aa4da6e04a4ecf9a8c69fc8c9fd,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,37
False,True,0,154,s0-step7450-f4of5-d1of4,37,4,1,2464,2464,,5,4,False,0.09066666666666667,375,34,False,budget_exhaustion,1.0,154,2310,4,1,True,362,fresh_execution,budget_exhaustion,3211861658,bf711e9a0d6c03543d5c2734d99617d74aea020913ad4eec07008e38b0875683,,,budget_exhausted_before_next_ranking,stage18-scaling-24a9adb84176,0,3,7450,37
True,False,2449,472,s0-step7450-f4of5-d1of2,38,2,1,10000,7551,,5,4,True,0.0,1,0,True,valid_distinct_candidate,0.8053097345132744,470,7082,1,0,True,47,fresh_execution,valid_sparse_circuit,,,,,locally_single_deletion_minimal_sparse_mask,stage18-scaling-24a9adb84176,0,3,7450,38
