cell_index,cell_id,fidelity_numerator,fidelity_denominator,displayed_fidelity,distinctness_numerator,distinctness_denominator,displayed_jaccard_cutoff,search_execution_mode,source_stage,source_run_id,circuit_i,circuit_j,member_i,member_j,intersection_count,union_count,jaccard_numerator,jaccard_denominator,jaccard_overlap,structural_distance,passes_active_cutoff,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C4,C6,4,6,18,83,18,83,0.21686746987951808,0.7831325301204819,True,stage18-scaling-24a9adb84176,0,3,7450,42
42,s0-step7450-f17of20-d3of4,17,20,0.850,3,4,0.75,fresh_execution,,,C5,C6,5,6,22,81,22,81,0.2716049382716049,0.7283950617283951,True,stage18-scaling-24a9adb84176,0,3,7450,42
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C1,C2,1,2,17,91,17,91,0.18681318681318682,0.8131868131868132,True,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C1,C3,1,3,17,96,17,96,0.17708333333333334,0.8229166666666666,True,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C1,C4,1,4,18,95,18,95,0.18947368421052632,0.8105263157894737,True,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C2,C3,2,3,18,95,18,95,0.18947368421052632,0.8105263157894737,True,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C2,C4,2,4,13,100,13,100,0.13,0.87,True,stage18-scaling-24a9adb84176,0,3,7450,43
43,s0-step7450-f9of10-d1of4,9,10,0.900,1,4,0.25,fresh_execution,,,C3,C4,3,4,17,101,17,101,0.16831683168316833,0.8316831683168316,True,stage18-scaling-24a9adb84176,0,3,7450,43
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C2,1,2,17,91,17,91,0.18681318681318682,0.8131868131868132,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C3,1,3,17,96,17,96,0.17708333333333334,0.8229166666666666,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C4,1,4,18,95,18,95,0.18947368421052632,0.8105263157894737,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C5,1,5,24,86,12,43,0.27906976744186046,0.7209302325581395,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C1,C6,1,6,28,82,14,41,0.34146341463414637,0.6585365853658536,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,C3,2,3,18,95,18,95,0.18947368421052632,0.8105263157894737,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,C4,2,4,13,100,13,100,0.13,0.87,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,C5,2,5,25,85,5,17,0.29411764705882354,0.7058823529411764,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C2,C6,2,6,24,86,12,43,0.27906976744186046,0.7209302325581395,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C3,C4,3,4,17,101,17,101,0.16831683168316833,0.8316831683168316,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C3,C5,3,5,16,99,16,99,0.16161616161616163,0.8383838383838383,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C3,C6,3,6,19,96,19,96,0.19791666666666666,0.8020833333333334,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C4,C5,4,5,16,99,16,99,0.16161616161616163,0.8383838383838383,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C4,C6,4,6,19,96,19,96,0.19791666666666666,0.8020833333333334,True,stage18-scaling-24a9adb84176,0,3,7450,44
44,s0-step7450-f9of10-d1of2,9,10,0.900,1,2,0.50,fresh_execution,,,C5,C6,5,6,23,89,23,89,0.25842696629213485,0.7415730337078652,True,stage18-scaling-24a9adb84176,0,3,7450,44
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C2,1,2,17,91,17,91,0.18681318681318682,0.8131868131868132,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C3,1,3,17,96,17,96,0.17708333333333334,0.8229166666666666,True,stage18-scaling-24a9adb84176,0,3,7450,45
45,s0-step7450-f9of10-d3of4,9,10,0.900,3,4,0.75,fresh_execution,,,C1,C4,1,4,18,95,18,95,0.18947368421052632,0.8105263157894737,True,stage18-scaling-24a9adb84176,0,3,7450,45
